NU_ANO,TP_ESCOLA,TP_SEXO,SG_UF_PROVA,QTD
2022,3,M,BA,5521
2022,3,M,CE,3827
2022,3,M,DF,2871
2022,3,M,ES,1591
2022,3,M,GO,3324
2022,3,M,MA,1511
2022,3,M,MG,7895
2022,3,M,MS,1007
2022,3,M,MT,1290
2022,3,M,PA,3069
2022,3,M,PB,2468
2022,3,M,PE,4160
2022,3,M,PI,1738
2022,3,M,PR,5587
2022,3,M,RJ,11375
2022,3,M,RN,1953
2022,3,M,RO,280
2022,3,M,RR,101
2022,3,M,RS,3938
2022,3,M,SC,3211
2022,3,M,SE,1448
2022,3,M,SP,26926
2022,3,M,TO,382
2023,1,F,AC,10653
2023,1,F,AL,33386
2023,1,F,AM,33861
2023,1,F,AP,12784
2023,1,F,BA,156784
2023,1,F,CE,79422
2023,1,F,DF,29114
2023,1,F,ES,28529
2023,1,F,GO,50713
2023,1,F,MA,72856
2023,1,F,MG,157647
2023,1,F,MS,18496
2023,1,F,MT,24431
2023,1,F,PA,107130
2023,1,F,PB,53794
2023,1,F,PE,92339
2023,1,F,PI,43784
2023,1,F,PR,54512
2023,1,F,RJ,118840
2023,1,F,RN,44394
2023,1,F,RO,14040
2023,1,F,RR,4098
2023,1,F,RS,64309
2023,1,F,SC,30659
2023,1,F,SE,29564
2023,1,F,SP,210894
2023,1,F,TO,13069
2023,1,M,AC,6654
2023,1,M,AL,19950
2023,1,M,AM,21565
2023,1,M,AP,8555
2023,1,M,BA,80559
2023,1,M,CE,53580
2023,1,M,DF,17812
2023,1,M,ES,16771
2023,1,M,GO,28729
2023,1,M,MA,41657
2023,1,M,MG,91458
2023,1,M,MS,11102
2023,1,M,MT,14380
2023,1,M,PA,61660
2023,1,M,PB,35305
2023,1,M,PE,56735
2023,1,M,PI,26159
2023,1,M,PR,32897
2023,1,M,RJ,70343
2023,1,M,RN,30601
2023,1,M,RO,7668
2023,1,M,RR,2327
2023,1,M,RS,37010
2023,1,M,SC,17898
2023,1,M,SE,17605
2023,1,M,SP,126585
2023,1,M,TO,7129
2023,2,F,AC,3854
2023,2,F,AL,14760
2023,2,F,AM,19680
2023,2,F,AP,3884
2023,2,F,BA,46220
2023,2,F,CE,52168
2023,2,F,DF,11485
2023,2,F,ES,14715
2023,2,F,GO,34340
2023,2,F,MA,28188
2023,2,F,MG,56416
2023,2,F,MS,9206
2023,2,F,MT,13359
2023,2,F,PA,31652
2023,2,F,PB,16853
2023,2,F,PE,35598
2023,2,F,PI,14865
2023,2,F,PR,40181
2023,2,F,RJ,41703
2023,2,F,RN,12430
2023,2,F,RO,7965
2023,2,F,RR,1805
2023,2,F,RS,30400
2023,2,F,SC,21558
2023,2,F,SE,9315
2023,2,F,SP,114489
2023,2,F,TO,6869
2023,2,M,AC,2685
2023,2,M,AL,10510
2023,2,M,AM,15757
2023,2,M,AP,2936
2023,2,M,BA,26311
2023,2,M,CE,48808
2023,2,M,DF,7816
2023,2,M,ES,10115
2023,2,M,GO,27210
2023,2,M,MA,19221
2023,2,M,MG,34176
2023,2,M,MS,6199
2023,2,M,MT,8638
2023,2,M,PA,20933
2023,2,M,PB,13213
2023,2,M,PE,24901
2023,2,M,PI,10871
2023,2,M,PR,26130
2023,2,M,RJ,24274
2023,2,M,RN,8600
2023,2,M,RO,5596
2023,2,M,RR,1114
2023,2,M,RS,18216
2023,2,M,SC,12878
2023,2,M,SE,5951
2023,2,M,SP,74914
2023,2,M,TO,4609
2023,3,F,AC,239
2023,3,F,AL,2288
2023,3,F,AM,1093
2023,3,F,AP,325
2023,3,F,BA,7954
2023,3,F,CE,4131
2023,3,F,DF,3594
2023,3,F,ES,1920
2023,3,F,GO,4467
2023,3,F,MA,2127
2023,3,F,MG,10237
2023,3,F,MS,1326
2023,3,F,MT,1732
2023,3,F,PA,4238
2023,3,F,PB,2896
2023,3,F,PE,4874
2023,3,F,PI,2106
2023,3,F,PR,6972
2023,3,F,RJ,14929
2023,3,F,RN,2510
2023,3,F,RO,432
2023,3,F,RR,174
2023,3,F,RS,5518
2023,3,F,SC,4476
2023,3,F,SE,1649
2023,3,F,SP,34392
2023,3,F,TO,526
2023,3,M,AC,189
2023,3,M,AL,1866
2023,3,M,AM,960
2023,3,M,AP,323
2023,3,M,BA,6440
2023,3,M,CE,3851
2023,3,M,DF,3154
2023,3,M,ES,1674
2023,3,M,GO,3651
2023,3,M,MA,1707
2023,3,M,MG,8641
2023,3,M,MS,1126
2023,3,M,MT,1372
2023,3,M,PA,3549
2023,3,M,PB,2450
2023,3,M,PE,4412
2023,3,M,PI,1854
2023,3,M,PR,5814
2023,3,M,RJ,12207
2023,3,M,RN,2171
2023,3,M,RO,337
2023,3,M,RR,121
2023,3,M,RS,4466
2023,3,M,SC,3794
2023,3,M,SE,1456
2023,3,M,SP,29493
2023,3,M,TO,416
