NU_ANO,TP_SEXO,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,F,6,RS,561
2019,F,6,SC,106
2019,F,6,SE,89
2019,F,6,SP,1193
2019,F,6,TO,28
2019,F,6,AC,7
2019,F,6,AL,20
2019,F,6,AM,41
2019,F,6,AP,27
2019,F,6,BA,250
2019,F,6,CE,101
2019,F,6,DF,67
2019,F,6,ES,67
2019,F,6,GO,57
2019,F,6,MA,58
2019,F,6,MG,355
2019,F,6,MS,35
2019,F,6,MT,49
2019,F,6,PA,158
2019,F,6,PB,62
2019,F,6,PE,146
2019,F,6,PI,52
2019,F,6,PR,68
2019,F,6,RJ,496
2019,F,6,RN,53
2019,F,6,RO,18
2019,F,6,RR,2
2019,F,6,RS,203
2019,F,6,SC,33
2019,F,6,SE,30
2019,F,6,SP,417
2019,F,6,TO,7
2019,F,6,AC,1
2019,F,6,AL,9
2019,F,6,AM,11
2019,F,6,AP,7
2019,F,6,BA,60
2019,F,6,CE,35
2019,F,6,DF,23
2019,F,6,ES,11
2019,F,6,GO,20
2019,F,6,MA,22
2019,F,6,MG,95
2019,F,6,MS,10
2019,F,6,MT,8
2019,F,6,PA,36
2019,F,6,PB,24
2019,F,6,PE,43
2019,F,6,PI,10
2019,F,6,PR,19
2019,F,6,RJ,156
2019,F,6,RN,8
2019,F,6,RO,3
2019,F,6,RS,59
2019,F,6,SC,7
2019,F,6,SE,13
2019,F,6,SP,134
2019,F,6,TO,2
2019,F,6,AC,1
2019,F,6,AL,3
2019,F,6,AM,3
2019,F,6,AP,2
2019,F,6,BA,16
2019,F,6,CE,15
2019,F,6,DF,14
2019,F,6,ES,6
2019,F,6,GO,3
2019,F,6,MA,3
2019,F,6,MG,36
2019,F,6,MS,4
2019,F,6,MT,4
2019,F,6,PA,13
2019,F,6,PB,2
2019,F,6,PE,11
2019,F,6,PI,2
2019,F,6,PR,5
2019,F,6,RJ,64
2019,F,6,RN,3
2019,F,6,RS,18
2019,F,6,SC,2
2019,F,6,SE,2
2019,F,6,SP,43
2019,F,6,TO,2
2019,M,1,AC,693
2019,M,1,AL,1962
2019,M,1,AM,2021
2019,M,1,AP,953
2019,M,1,BA,9329
2019,M,1,CE,9974
2019,M,1,DF,1984
2019,M,1,ES,2098
2019,M,1,GO,7301
2019,M,1,MA,6630
2019,M,1,MG,14650
2019,M,1,MS,2326
2019,M,1,MT,2810
2019,M,1,PA,7298
2019,M,1,PB,4852
2019,M,1,PE,9554
2019,M,1,PI,4194
2019,M,1,PR,7343
2019,M,1,RJ,6961
2019,M,1,RN,2196
2019,M,1,RO,1177
2019,M,1,RR,354
2019,M,1,RS,3525
2019,M,1,SC,3174
2019,M,1,SE,2709
2019,M,1,SP,26212
2019,M,1,TO,1591
2019,M,2,AC,1499
2019,M,2,AL,4284
2019,M,2,AM,5435
2019,M,2,AP,1680
2019,M,2,BA,17456
2019,M,2,CE,22639
2019,M,2,DF,5543
2019,M,2,ES,5690
2019,M,2,GO,12291
2019,M,2,MA,11285
2019,M,2,MG,30540
2019,M,2,MS,4727
2019,M,2,MT,5838
2019,M,2,PA,11796
2019,M,2,PB,7057
2019,M,2,PE,16952
2019,M,2,PI,6335
2019,M,2,PR,19706
2019,M,2,RJ,18156
2019,M,2,RN,4922
2019,M,2,RO,2319
2019,M,2,RR,686
2019,M,2,RS,10579
2019,M,2,SC,8993
2019,M,2,SE,3581
2019,M,2,SP,87972
2019,M,2,TO,2776
2019,M,3,AC,2048
2019,M,3,AL,5135
2019,M,3,AM,7710
2019,M,3,AP,2256
2019,M,3,BA,20599
2019,M,3,CE,27698
2019,M,3,DF,6257
2019,M,3,ES,7290
2019,M,3,GO,13121
2019,M,3,MA,13413
2019,M,3,MG,35799
2019,M,3,MS,4396
2019,M,3,MT,6260
2019,M,3,PA,14319
2019,M,3,PB,8250
2019,M,3,PE,18975
2019,M,3,PI,7639
2019,M,3,PR,14714
2019,M,3,RJ,23528
2019,M,3,RN,6346
2019,M,3,RO,3574
2019,M,3,RR,853
2019,M,3,RS,16073
2019,M,3,SC,10822
2019,M,3,SE,4139
2019,M,3,SP,60842
2019,M,3,TO,3120
2019,M,4,AC,1668
2019,M,4,AL,4328
2019,M,4,AM,5515
2019,M,4,AP,1886
2019,M,4,BA,17796
2019,M,4,CE,16941
2019,M,4,DF,4367
2019,M,4,ES,5298
2019,M,4,GO,7082
2019,M,4,MA,11212
2019,M,4,MG,24563
2019,M,4,MS,2752
2019,M,4,MT,3583
2019,M,4,PA,12197
2019,M,4,PB,6636
2019,M,4,PE,13038
2019,M,4,PI,6169
2019,M,4,PR,8566
2019,M,4,RJ,17406
2019,M,4,RN,5681
2019,M,4,RO,2321
2019,M,4,RR,626
2019,M,4,RS,9580
2019,M,4,SC,4781
2019,M,4,SE,3511
2019,M,4,SP,33671
2019,M,4,TO,2232
2019,M,5,AC,1423
2019,M,5,AL,3311
2019,M,5,AM,4210
2019,M,5,AP,1513
2019,M,5,BA,14348
2019,M,5,CE,10852
2019,M,5,DF,3375
2019,M,5,ES,3670
2019,M,5,GO,4888
2019,M,5,MA,8445
2019,M,5,MG,17891
2019,M,5,MS,2094
2019,M,5,MT,2600
2019,M,5,PA,10103
2019,M,5,PB,5297
2019,M,5,PE,9417
2019,M,5,PI,4530
2019,M,5,PR,6277
2019,M,5,RJ,12602
2019,M,5,RN,4690
2019,M,5,RO,1811
2019,M,5,RR,445
2019,M,5,RS,7970
2019,M,5,SC,2774
2019,M,5,SE,2952
