NU_ANO,TP_FAIXA_ETARIA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,6,2.0,BA,21
2019,6,2.0,CE,36
2019,6,2.0,GO,3
2019,6,2.0,MA,24
2019,6,2.0,MG,1
2019,6,2.0,MS,3
2019,6,2.0,MT,2
2019,6,2.0,PA,5
2019,6,2.0,PB,6
2019,6,2.0,PE,5
2019,6,2.0,PI,9
2019,6,2.0,PR,3
2019,6,2.0,RJ,5
2019,6,2.0,RN,1
2019,6,2.0,RO,1
2019,6,2.0,RS,3
2019,6,2.0,SE,4
2019,6,2.0,SP,1
2019,6,1.0,AC,53
2019,6,1.0,AL,200
2019,6,1.0,AM,331
2019,6,1.0,AP,104
2019,6,1.0,BA,515
2019,6,1.0,CE,1957
2019,6,1.0,DF,87
2019,6,1.0,ES,202
2019,6,1.0,GO,243
2019,6,1.0,MA,304
2019,6,1.0,MG,667
2019,6,1.0,MS,107
2019,6,1.0,MT,90
2019,6,1.0,PA,783
2019,6,1.0,PB,339
2019,6,1.0,PE,460
2019,6,1.0,PI,299
2019,6,1.0,PR,288
2019,6,1.0,RJ,512
2019,6,1.0,RN,205
2019,6,1.0,RO,250
2019,6,1.0,RR,8
2019,6,1.0,RS,256
2019,6,1.0,SC,79
2019,6,1.0,SE,131
2019,6,1.0,SP,793
2019,6,1.0,TO,49
2019,6,2.0,AC,6
2019,6,2.0,AL,9
2019,6,2.0,AM,22
2019,6,2.0,AP,7
2019,6,2.0,BA,39
2019,6,2.0,CE,114
2019,6,2.0,DF,4
2019,6,2.0,GO,1
2019,6,2.0,MA,72
2019,6,2.0,MG,10
2019,6,2.0,MS,13
2019,6,2.0,MT,8
2019,6,2.0,PA,38
2019,6,2.0,PB,18
2019,6,2.0,PE,31
2019,6,2.0,PI,17
2019,6,2.0,PR,3
2019,6,2.0,RJ,13
2019,6,2.0,RN,3
2019,6,2.0,RO,7
2019,6,2.0,RR,1
2019,6,2.0,RS,8
2019,6,2.0,SC,1
2019,6,2.0,SE,12
2019,6,2.0,SP,3
2019,6,2.0,TO,1
2019,6,1.0,AC,17
2019,6,1.0,AL,107
2019,6,1.0,AM,194
2019,6,1.0,AP,69
2019,6,1.0,BA,301
2019,6,1.0,CE,1270
2019,6,1.0,DF,71
2019,6,1.0,ES,127
2019,6,1.0,GO,163
2019,6,1.0,MA,200
2019,6,1.0,MG,386
2019,6,1.0,MS,68
2019,6,1.0,MT,69
2019,6,1.0,PA,437
2019,6,1.0,PB,215
2019,6,1.0,PE,350
2019,6,1.0,PI,214
2019,6,1.0,PR,125
2019,6,1.0,RJ,278
2019,6,1.0,RN,139
2019,6,1.0,RO,155
2019,6,1.0,RR,4
2019,6,1.0,RS,123
2019,6,1.0,SC,44
2019,6,1.0,SE,62
2019,6,1.0,SP,521
2019,6,1.0,TO,37
2019,6,2.0,AL,8
2019,6,2.0,AM,14
2019,6,2.0,AP,3
2019,6,2.0,BA,22
2019,6,2.0,CE,94
2019,6,2.0,DF,2
2019,6,2.0,GO,3
2019,6,2.0,MA,42
2019,6,2.0,MG,6
2019,6,2.0,MS,9
2019,6,2.0,MT,11
2019,6,2.0,PA,24
2019,6,2.0,PB,14
2019,6,2.0,PE,30
2019,6,2.0,PI,14
2019,6,2.0,PR,2
2019,6,2.0,RJ,4
2019,6,2.0,RN,1
2019,6,2.0,RO,4
2019,6,2.0,RS,1
2019,6,2.0,SE,6
2019,6,2.0,SP,5
2019,6,2.0,TO,1
2019,6,1.0,AC,12
2019,6,1.0,AL,83
2019,6,1.0,AM,120
2019,6,1.0,AP,28
2019,6,1.0,BA,188
2019,6,1.0,CE,839
2019,6,1.0,DF,70
2019,6,1.0,ES,116
2019,6,1.0,GO,131
2019,6,1.0,MA,118
2019,6,1.0,MG,379
2019,6,1.0,MS,55
2019,6,1.0,MT,56
2019,6,1.0,PA,277
2019,6,1.0,PB,140
2019,6,1.0,PE,262
2019,6,1.0,PI,149
2019,6,1.0,PR,99
2019,6,1.0,RJ,239
2019,6,1.0,RN,68
2019,6,1.0,RO,91
2019,6,1.0,RR,4
2019,6,1.0,RS,107
2019,6,1.0,SC,34
2019,6,1.0,SE,35
2019,6,1.0,SP,475
2019,6,1.0,TO,28
2019,6,2.0,AC,1
2019,6,2.0,AM,5
2019,6,2.0,AP,1
2019,6,2.0,BA,19
2019,6,2.0,CE,47
2019,6,2.0,DF,2
2019,6,2.0,GO,1
2019,6,2.0,MA,23
2019,6,2.0,MG,4
2019,6,2.0,MS,5
2019,6,2.0,MT,5
2019,6,2.0,PA,11
2019,6,2.0,PB,6
2019,6,2.0,PE,20
2019,6,2.0,PI,10
2019,6,2.0,PR,1
2019,6,2.0,RJ,5
2019,6,2.0,RN,3
2019,6,2.0,RO,2
2019,6,2.0,RS,3
2019,6,2.0,SE,1
2019,6,2.0,SP,1
2019,6,2.0,TO,1
2019,6,1.0,AC,6
2019,6,1.0,AL,49
2019,6,1.0,AM,59
2019,6,1.0,AP,18
2019,6,1.0,BA,130
2019,6,1.0,CE,514
2019,6,1.0,DF,52
2019,6,1.0,ES,91
2019,6,1.0,GO,82
2019,6,1.0,MA,61
2019,6,1.0,MG,290
2019,6,1.0,MS,42
2019,6,1.0,MT,26
2019,6,1.0,PA,172
2019,6,1.0,PB,104
2019,6,1.0,PE,143
2019,6,1.0,PI,93
2019,6,1.0,PR,65
2019,6,1.0,RJ,175
2019,6,1.0,RN,53
2019,6,1.0,RO,38
2019,6,1.0,RR,2
2019,6,1.0,RS,94
2019,6,1.0,SC,19
2019,6,1.0,SE,13
2019,6,1.0,SP,375
2019,6,1.0,TO,14
2019,6,2.0,AL,2
2019,6,2.0,AM,1
2019,6,2.0,BA,6
2019,6,2.0,CE,37
2019,6,2.0,DF,1
2019,6,2.0,MA,11
2019,6,2.0,MG,5
2019,6,2.0,MS,3
2019,6,2.0,MT,10
2019,6,2.0,PA,7
2019,6,2.0,PB,5
2019,6,2.0,PE,11
2019,6,2.0,PI,10
2019,6,2.0,PR,1
2019,6,2.0,RJ,4
2019,6,2.0,RN,1
2019,6,2.0,RS,1
2019,6,2.0,SE,3
2019,6,2.0,SP,1
2019,6,2.0,TO,1
2019,6,1.0,AC,3
2019,6,1.0,AL,19
2019,6,1.0,AM,35
2019,6,1.0,AP,4
2019,6,1.0,BA,62
2019,6,1.0,CE,302
2019,6,1.0,DF,42
2019,6,1.0,ES,62
2019,6,1.0,GO,44
2019,6,1.0,MA,24
2019,6,1.0,MG,203
2019,6,1.0,MS,19
2019,6,1.0,MT,25
2019,6,1.0,PA,91
2019,6,1.0,PB,57
2019,6,1.0,PE,110
2019,6,1.0,PI,50
2019,6,1.0,PR,34
2019,6,1.0,RJ,152
2019,6,1.0,RN,36
2019,6,1.0,RO,23
2019,6,1.0,RR,3
2019,6,1.0,RS,52
2019,6,1.0,SC,13
2019,6,1.0,SE,13
2019,6,1.0,SP,303
2019,6,1.0,TO,9
2019,6,2.0,AM,2
2019,6,2.0,BA,1
2019,6,2.0,CE,14
2019,6,2.0,MA,5
2019,6,2.0,MG,2
2019,6,2.0,MS,1
2019,6,2.0,MT,1
2019,6,2.0,PA,1
2019,6,2.0,PB,2
2019,6,2.0,PE,5
2019,6,2.0,PI,6
2019,6,2.0,RJ,1
2019,6,2.0,RN,2
2019,6,2.0,RO,1
2019,6,2.0,SP,2
2019,6,1.0,AC,1
2019,6,1.0,AL,11
2019,6,1.0,AM,18
2019,6,1.0,AP,11
2019,6,1.0,BA,31
2019,6,1.0,CE,189
2019,6,1.0,DF,13
2019,6,1.0,ES,37
2019,6,1.0,GO,27
2019,6,1.0,MA,23
2019,6,1.0,MG,131
2019,6,1.0,MS,16
2019,6,1.0,MT,16
2019,6,1.0,PA,50
2019,6,1.0,PB,25
2019,6,1.0,PE,52
2019,6,1.0,PI,34
2019,6,1.0,PR,11
2019,6,1.0,RJ,96
2019,6,1.0,RN,25
2019,6,1.0,RO,10
2019,6,1.0,RS,36
2019,6,1.0,SC,8
2019,6,1.0,SE,1
2019,6,1.0,SP,173
2019,6,1.0,TO,1
2019,6,2.0,AL,1
2019,6,2.0,BA,3
2019,6,2.0,CE,10
2019,6,2.0,MA,4
2019,6,2.0,MG,1
2019,6,2.0,MS,1
2019,6,2.0,MT,1
2019,6,2.0,PB,1
2019,6,2.0,PE,4
2019,6,2.0,PI,4
2019,6,2.0,RJ,3
2019,6,1.0,AL,3
2019,6,1.0,AM,9
2019,6,1.0,AP,4
2019,6,1.0,BA,15
2019,6,1.0,CE,78
2019,6,1.0,DF,12
2019,6,1.0,ES,14
2019,6,1.0,GO,18
2019,6,1.0,MA,3
2019,6,1.0,MG,59
2019,6,1.0,MS,4
2019,6,1.0,MT,5
2019,6,1.0,PA,28
2019,6,1.0,PB,11
2019,6,1.0,PE,31
2019,6,1.0,PI,15
2019,6,1.0,PR,11
2019,6,1.0,RJ,46
2019,6,1.0,RN,6
2019,6,1.0,RO,3
2019,6,1.0,RS,22
2019,6,1.0,SC,9
2019,6,1.0,SE,2
2019,6,1.0,SP,80
2019,6,2.0,AC,1
2019,6,2.0,BA,1
2019,6,2.0,CE,2
2019,6,2.0,MA,1
2019,6,2.0,MS,1
2019,6,2.0,PE,1
2019,6,1.0,AL,1
2019,6,1.0,AM,3
2019,6,1.0,BA,6
2019,6,1.0,CE,37
2019,6,1.0,DF,5
2019,6,1.0,ES,6
2019,6,1.0,GO,6
2019,6,1.0,MA,3
2019,6,1.0,MG,22
2019,6,1.0,MS,2
2019,6,1.0,MT,4
2019,6,1.0,PA,7
2019,6,1.0,PB,7
2019,6,1.0,PE,8
2019,6,1.0,PI,3
2019,6,1.0,PR,5
2019,6,1.0,RJ,24
2019,6,1.0,RN,1
2019,6,1.0,RS,8
2019,6,1.0,SC,1
2019,6,1.0,SP,36
2019,6,1.0,TO,1
2019,6,2.0,BA,1
2019,6,2.0,CE,1
2019,6,2.0,RJ,1
2019,6,2.0,SP,1
2019,6,1.0,AC,1
2019,6,1.0,AL,1
2019,6,1.0,AP,1
2019,6,1.0,BA,2
2019,6,1.0,CE,9
2019,6,1.0,MG,3
2019,6,1.0,PA,5
2019,6,1.0,PB,7
2019,6,1.0,PE,2
2019,6,1.0,PR,1
2019,6,1.0,RJ,7
2019,6,1.0,RN,1
2019,6,1.0,RR,1
2019,6,1.0,RS,3
2019,6,1.0,SC,2
2019,6,1.0,SP,15
2019,6,2.0,CE,1
2019,6,2.0,PE,2
2019,6,1.0,CE,7
2019,6,1.0,DF,1
2019,6,1.0,MG,1
2019,6,1.0,MS,1
2019,6,1.0,MT,1
2019,6,1.0,PR,1
2019,6,1.0,RJ,1
2019,6,1.0,RS,1
2019,6,1.0,SP,5
2019,6,2.0,CE,1
2020,1,1.0,AC,83
2020,1,1.0,AL,269
2020,1,1.0,AM,318
2020,1,1.0,AP,134
2020,1,1.0,BA,1068
2020,1,1.0,CE,696
2020,1,1.0,DF,206
2020,1,1.0,ES,78
2020,1,1.0,GO,496
2020,1,1.0,MA,990
2020,1,1.0,MG,232
2020,1,1.0,MS,108
2020,1,1.0,MT,151
2020,1,1.0,PA,1124
2020,1,1.0,PB,829
2020,1,1.0,PE,1588
2020,1,1.0,PI,490
2020,1,1.0,PR,290
2020,1,1.0,RJ,623
2020,1,1.0,RN,175
2020,1,1.0,RO,92
2020,1,1.0,RR,41
2020,1,1.0,RS,122
2020,1,1.0,SC,237
2020,1,1.0,SE,298
2020,1,1.0,SP,661
2020,1,1.0,TO,125
2020,1,2.0,AC,5
2020,1,2.0,AL,5
2020,1,2.0,AM,36
2020,1,2.0,AP,8
2020,1,2.0,BA,52
2020,1,2.0,CE,17
2020,1,2.0,DF,3
2020,1,2.0,ES,1
2020,1,2.0,GO,15
2020,1,2.0,MA,88
2020,1,2.0,MG,6
2020,1,2.0,MS,2
2020,1,2.0,MT,7
2020,1,2.0,PA,32
2020,1,2.0,PB,21
2020,1,2.0,PE,41
2020,1,2.0,PI,13
2020,1,2.0,PR,10
2020,1,2.0,RJ,10
2020,1,2.0,RN,2
2020,1,2.0,RO,8
2020,1,2.0,RR,9
2020,1,2.0,RS,3
2020,1,2.0,SC,5
2020,1,2.0,SE,10
2020,1,2.0,SP,3
2020,1,2.0,TO,7
2020,2,1.0,AC,1451
2020,2,1.0,AL,4812
2020,2,1.0,AM,8069
2020,2,1.0,AP,1317
2020,2,1.0,BA,15868
2020,2,1.0,CE,32024
2020,2,1.0,DF,8491
2020,2,1.0,ES,5533
2020,2,1.0,GO,13905
2020,2,1.0,MA,10259
2020,2,1.0,MG,29742
2020,2,1.0,MS,6145
2020,2,1.0,MT,5501
2020,2,1.0,PA,10700
2020,2,1.0,PB,7952
2020,2,1.0,PE,17794
2020,2,1.0,PI,5710
2020,2,1.0,PR,25689
2020,2,1.0,RJ,21726
2020,2,1.0,RN,4304
2020,2,1.0,RO,2223
2020,2,1.0,RR,742
2020,2,1.0,RS,9614
2020,2,1.0,SC,9869
2020,2,1.0,SE,3480
2020,2,1.0,SP,105511
2020,2,1.0,TO,2890
2020,2,2.0,AC,77
2020,2,2.0,AL,179
2020,2,2.0,AM,361
