NU_ANO,TP_LOCALIZACAO_ESC,TP_SEXO,SG_UF_PROVA,QTD
2022,2.0,M,PB,254
2022,2.0,M,PE,852
2022,2.0,M,PI,254
2022,2.0,M,PR,660
2022,2.0,M,RJ,559
2022,2.0,M,RN,203
2022,2.0,M,RO,223
2022,2.0,M,RR,71
2022,2.0,M,RS,629
2022,2.0,M,SC,375
2022,2.0,M,SE,211
2022,2.0,M,SP,998
2022,2.0,M,TO,245
2023,1.0,F,AC,2030
2023,1.0,F,AL,10752
2023,1.0,F,AM,13335
2023,1.0,F,AP,2126
2023,1.0,F,BA,23030
2023,1.0,F,CE,47006
2023,1.0,F,DF,10790
2023,1.0,F,ES,10820
2023,1.0,F,GO,23319
2023,1.0,F,MA,15910
2023,1.0,F,MG,35939
2023,1.0,F,MS,6181
2023,1.0,F,MT,8847
2023,1.0,F,PA,18322
2023,1.0,F,PB,12484
2023,1.0,F,PE,23485
2023,1.0,F,PI,9483
2023,1.0,F,PR,29117
2023,1.0,F,RJ,35547
2023,1.0,F,RN,9090
2023,1.0,F,RO,5414
2023,1.0,F,RR,1189
2023,1.0,F,RS,21955
2023,1.0,F,SC,17805
2023,1.0,F,SE,5653
2023,1.0,F,SP,102871
2023,1.0,F,TO,3692
2023,1.0,M,AC,1697
2023,1.0,M,AL,8677
2023,1.0,M,AM,11617
2023,1.0,M,AP,1951
2023,1.0,M,BA,18062
2023,1.0,M,CE,45495
2023,1.0,M,DF,8854
2023,1.0,M,ES,8858
2023,1.0,M,GO,21668
2023,1.0,M,MA,12694
2023,1.0,M,MG,28890
2023,1.0,M,MS,5111
2023,1.0,M,MT,6803
2023,1.0,M,PA,14787
2023,1.0,M,PB,11158
2023,1.0,M,PE,20057
2023,1.0,M,PI,8073
2023,1.0,M,PR,23363
2023,1.0,M,RJ,26841
2023,1.0,M,RN,7486
2023,1.0,M,RO,4351
2023,1.0,M,RR,874
2023,1.0,M,RS,16506
2023,1.0,M,SC,13197
2023,1.0,M,SE,4533
2023,1.0,M,SP,82060
2023,1.0,M,TO,3001
2023,2.0,F,AC,277
2023,2.0,F,AL,584
2023,2.0,F,AM,788
2023,2.0,F,AP,131
2023,2.0,F,BA,1390
2023,2.0,F,CE,2856
2023,2.0,F,DF,280
2023,2.0,F,ES,483
2023,2.0,F,GO,429
2023,2.0,F,MA,1868
2023,2.0,F,MG,1177
2023,2.0,F,MS,360
2023,2.0,F,MT,607
2023,2.0,F,PA,1094
2023,2.0,F,PB,436
2023,2.0,F,PE,1094
2023,2.0,F,PI,437
2023,2.0,F,PR,916
2023,2.0,F,RJ,825
2023,2.0,F,RN,271
2023,2.0,F,RO,260
2023,2.0,F,RR,129
2023,2.0,F,RS,642
2023,2.0,F,SC,400
2023,2.0,F,SE,253
2023,2.0,F,SP,1309
2023,2.0,F,TO,256
2023,2.0,M,AC,193
2023,2.0,M,AL,464
2023,2.0,M,AM,781
2023,2.0,M,AP,121
2023,2.0,M,BA,941
2023,2.0,M,CE,2777
2023,2.0,M,DF,109
2023,2.0,M,ES,377
2023,2.0,M,GO,479
2023,2.0,M,MA,1388
2023,2.0,M,MG,866
2023,2.0,M,MS,272
2023,2.0,M,MT,500
2023,2.0,M,PA,799
2023,2.0,M,PB,386
2023,2.0,M,PE,925
2023,2.0,M,PI,373
2023,2.0,M,PR,715
2023,2.0,M,RJ,600
2023,2.0,M,RN,254
2023,2.0,M,RO,167
2023,2.0,M,RR,91
2023,2.0,M,RS,551
2023,2.0,M,SC,363
2023,2.0,M,SE,219
2023,2.0,M,SP,1119
2023,2.0,M,TO,268
