NU_ANO,TP_LOCALIZACAO_ESC,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,2.0,5,AP,25
2019,2.0,5,BA,269
2019,2.0,5,CE,305
2019,2.0,5,DF,23
2019,2.0,5,ES,28
2019,2.0,5,GO,13
2019,2.0,5,MA,184
2019,2.0,5,MG,60
2019,2.0,5,MS,45
2019,2.0,5,MT,18
2019,2.0,5,PA,144
2019,2.0,5,PB,49
2019,2.0,5,PE,98
2019,2.0,5,PI,59
2019,2.0,5,PR,23
2019,2.0,5,RJ,101
2019,2.0,5,RN,53
2019,2.0,5,RO,21
2019,2.0,5,RR,5
2019,2.0,5,RS,36
2019,2.0,5,SC,11
2019,2.0,5,SE,74
2019,2.0,5,SP,15
2019,2.0,5,TO,17
2019,2.0,6,AC,11
2019,2.0,6,AL,14
2019,2.0,6,AM,29
2019,2.0,6,AP,10
2019,2.0,6,BA,87
2019,2.0,6,CE,121
2019,2.0,6,DF,5
2019,2.0,6,ES,3
2019,2.0,6,GO,7
2019,2.0,6,MA,80
2019,2.0,6,MG,11
2019,2.0,6,MS,10
2019,2.0,6,MT,5
2019,2.0,6,PA,43
2019,2.0,6,PB,22
2019,2.0,6,PE,42
2019,2.0,6,PI,37
2019,2.0,6,PR,13
2019,2.0,6,RJ,40
2019,2.0,6,RN,15
2019,2.0,6,RO,6
2019,2.0,6,RR,2
2019,2.0,6,RS,9
2019,2.0,6,SE,38
2019,2.0,6,SP,7
2019,2.0,6,TO,5
2019,2.0,6,AC,5
2019,2.0,6,AL,8
2019,2.0,6,AM,17
2019,2.0,6,AP,12
2019,2.0,6,BA,51
2019,2.0,6,CE,74
2019,2.0,6,DF,2
2019,2.0,6,ES,3
2019,2.0,6,GO,2
2019,2.0,6,MA,47
2019,2.0,6,MG,8
2019,2.0,6,MS,5
2019,2.0,6,MT,4
2019,2.0,6,PA,30
2019,2.0,6,PB,11
2019,2.0,6,PE,16
2019,2.0,6,PI,18
2019,2.0,6,PR,2
2019,2.0,6,RJ,15
2019,2.0,6,RN,10
2019,2.0,6,RO,11
2019,2.0,6,RR,1
2019,2.0,6,RS,5
2019,2.0,6,SE,23
2019,2.0,6,SP,6
2019,2.0,6,TO,1
2019,2.0,6,AC,4
2019,2.0,6,AL,4
2019,2.0,6,AM,11
2019,2.0,6,AP,6
2019,2.0,6,BA,28
2019,2.0,6,CE,56
2019,2.0,6,DF,2
2019,2.0,6,GO,3
2019,2.0,6,MA,43
2019,2.0,6,MG,4
2019,2.0,6,MS,6
2019,2.0,6,MT,2
2019,2.0,6,PA,19
2019,2.0,6,PB,8
2019,2.0,6,PE,9
2019,2.0,6,PI,7
2019,2.0,6,PR,4
2019,2.0,6,RJ,10
2019,2.0,6,RN,2
2019,2.0,6,RO,3
2019,2.0,6,RR,1
2019,2.0,6,RS,1
2019,2.0,6,SC,1
2019,2.0,6,SE,14
2019,2.0,6,SP,4
2019,2.0,6,TO,3
2019,2.0,6,AC,6
2019,2.0,6,AM,12
2019,2.0,6,AP,3
2019,2.0,6,BA,11
2019,2.0,6,CE,47
2019,2.0,6,DF,3
2019,2.0,6,ES,1
2019,2.0,6,GO,3
2019,2.0,6,MA,23
2019,2.0,6,MG,2
2019,2.0,6,MS,9
2019,2.0,6,MT,5
2019,2.0,6,PA,10
2019,2.0,6,PB,8
2019,2.0,6,PE,13
2019,2.0,6,PI,7
2019,2.0,6,PR,1
2019,2.0,6,RJ,5
2019,2.0,6,RN,4
2019,2.0,6,RO,3
2019,2.0,6,RS,1
2019,2.0,6,SC,2
2019,2.0,6,SE,7
2019,2.0,6,AC,1
2019,2.0,6,AL,5
2019,2.0,6,AM,2
2019,2.0,6,AP,1
2019,2.0,6,BA,21
2019,2.0,6,CE,36
2019,2.0,6,GO,3
2019,2.0,6,MA,24
2019,2.0,6,MG,1
2019,2.0,6,MS,3
2019,2.0,6,MT,2
2019,2.0,6,PA,5
2019,2.0,6,PB,6
2019,2.0,6,PE,5
2019,2.0,6,PI,9
2019,2.0,6,PR,3
2019,2.0,6,RJ,5
2019,2.0,6,RN,1
2019,2.0,6,RO,1
2019,2.0,6,RS,3
2019,2.0,6,SE,4
2019,2.0,6,SP,1
2019,2.0,6,AC,6
2019,2.0,6,AL,9
2019,2.0,6,AM,22
2019,2.0,6,AP,7
2019,2.0,6,BA,39
2019,2.0,6,CE,114
2019,2.0,6,DF,4
2019,2.0,6,GO,1
2019,2.0,6,MA,72
2019,2.0,6,MG,10
2019,2.0,6,MS,13
2019,2.0,6,MT,8
2019,2.0,6,PA,38
2019,2.0,6,PB,18
2019,2.0,6,PE,31
2019,2.0,6,PI,17
2019,2.0,6,PR,3
2019,2.0,6,RJ,13
2019,2.0,6,RN,3
2019,2.0,6,RO,7
2019,2.0,6,RR,1
2019,2.0,6,RS,8
2019,2.0,6,SC,1
2019,2.0,6,SE,12
2019,2.0,6,SP,3
2019,2.0,6,TO,1
2019,2.0,6,AL,8
2019,2.0,6,AM,14
2019,2.0,6,AP,3
2019,2.0,6,BA,22
2019,2.0,6,CE,94
2019,2.0,6,DF,2
2019,2.0,6,GO,3
2019,2.0,6,MA,42
2019,2.0,6,MG,6
2019,2.0,6,MS,9
2019,2.0,6,MT,11
2019,2.0,6,PA,24
2019,2.0,6,PB,14
2019,2.0,6,PE,30
2019,2.0,6,PI,14
2019,2.0,6,PR,2
2019,2.0,6,RJ,4
2019,2.0,6,RN,1
2019,2.0,6,RO,4
2019,2.0,6,RS,1
2019,2.0,6,SE,6
2019,2.0,6,SP,5
2019,2.0,6,TO,1
2019,2.0,6,AC,1
2019,2.0,6,AM,5
2019,2.0,6,AP,1
2019,2.0,6,BA,19
2019,2.0,6,CE,47
2019,2.0,6,DF,2
2019,2.0,6,GO,1
2019,2.0,6,MA,23
2019,2.0,6,MG,4
2019,2.0,6,MS,5
2019,2.0,6,MT,5
2019,2.0,6,PA,11
2019,2.0,6,PB,6
2019,2.0,6,PE,20
2019,2.0,6,PI,10
2019,2.0,6,PR,1
2019,2.0,6,RJ,5
2019,2.0,6,RN,3
2019,2.0,6,RO,2
2019,2.0,6,RS,3
2019,2.0,6,SE,1
2019,2.0,6,SP,1
2019,2.0,6,TO,1
2019,2.0,6,AL,2
2019,2.0,6,AM,1
2019,2.0,6,BA,6
2019,2.0,6,CE,37
2019,2.0,6,DF,1
2019,2.0,6,MA,11
2019,2.0,6,MG,5
2019,2.0,6,MS,3
2019,2.0,6,MT,10
2019,2.0,6,PA,7
2019,2.0,6,PB,5
2019,2.0,6,PE,11
2019,2.0,6,PI,10
2019,2.0,6,PR,1
2019,2.0,6,RJ,4
2019,2.0,6,RN,1
2019,2.0,6,RS,1
2019,2.0,6,SE,3
2019,2.0,6,SP,1
2019,2.0,6,TO,1
2019,2.0,6,AM,2
2019,2.0,6,BA,1
2019,2.0,6,CE,14
2019,2.0,6,MA,5
2019,2.0,6,MG,2
2019,2.0,6,MS,1
2019,2.0,6,MT,1
2019,2.0,6,PA,1
2019,2.0,6,PB,2
2019,2.0,6,PE,5
2019,2.0,6,PI,6
2019,2.0,6,RJ,1
2019,2.0,6,RN,2
2019,2.0,6,RO,1
2019,2.0,6,SP,2
2019,2.0,6,AL,1
2019,2.0,6,BA,3
2019,2.0,6,CE,10
2019,2.0,6,MA,4
2019,2.0,6,MG,1
2019,2.0,6,MS,1
2019,2.0,6,MT,1
2019,2.0,6,PB,1
2019,2.0,6,PE,4
2019,2.0,6,PI,4
2019,2.0,6,RJ,3
2019,2.0,6,AC,1
2019,2.0,6,BA,1
2019,2.0,6,CE,2
2019,2.0,6,MA,1
2019,2.0,6,MS,1
2019,2.0,6,PE,1
2019,2.0,6,BA,1
2019,2.0,6,CE,1
2019,2.0,6,RJ,1
2019,2.0,6,SP,1
2019,2.0,6,CE,1
2019,2.0,6,PE,2
2019,2.0,6,CE,1
2020,1.0,1,AC,83
2020,1.0,1,AL,269
2020,1.0,1,AM,318
2020,1.0,1,AP,134
2020,1.0,1,BA,1068
2020,1.0,1,CE,696
2020,1.0,1,DF,206
2020,1.0,1,ES,78
2020,1.0,1,GO,496
2020,1.0,1,MA,990
2020,1.0,1,MG,232
2020,1.0,1,MS,108
2020,1.0,1,MT,151
2020,1.0,1,PA,1124
2020,1.0,1,PB,829
2020,1.0,1,PE,1588
2020,1.0,1,PI,490
2020,1.0,1,PR,290
2020,1.0,1,RJ,623
2020,1.0,1,RN,175
2020,1.0,1,RO,92
2020,1.0,1,RR,41
2020,1.0,1,RS,122
2020,1.0,1,SC,237
2020,1.0,1,SE,298
2020,1.0,1,SP,661
2020,1.0,1,TO,125
2020,1.0,2,AC,1451
2020,1.0,2,AL,4812
2020,1.0,2,AM,8069
2020,1.0,2,AP,1317
2020,1.0,2,BA,15868
2020,1.0,2,CE,32024
2020,1.0,2,DF,8491
2020,1.0,2,ES,5533
2020,1.0,2,GO,13905
2020,1.0,2,MA,10259
2020,1.0,2,MG,29742
2020,1.0,2,MS,6145
2020,1.0,2,MT,5501
2020,1.0,2,PA,10700
2020,1.0,2,PB,7952
2020,1.0,2,PE,17794
2020,1.0,2,PI,5710
2020,1.0,2,PR,25689
2020,1.0,2,RJ,21726
2020,1.0,2,RN,4304
2020,1.0,2,RO,2223
2020,1.0,2,RR,742
2020,1.0,2,RS,9614
2020,1.0,2,SC,9869
2020,1.0,2,SE,3480
2020,1.0,2,SP,105511
2020,1.0,2,TO,2890
2020,1.0,3,AC,1312
2020,1.0,3,AL,5014
2020,1.0,3,AM,10550
2020,1.0,3,AP,1211
2020,1.0,3,BA,16061
2020,1.0,3,CE,38788
2020,1.0,3,DF,7888
2020,1.0,3,ES,8477
2020,1.0,3,GO,16831
2020,1.0,3,MA,8383
2020,1.0,3,MG,30754
2020,1.0,3,MS,3351
2020,1.0,3,MT,6410
2020,1.0,3,PA,10756
2020,1.0,3,PB,6068
2020,1.0,3,PE,17228
2020,1.0,3,PI,5213
2020,1.0,3,PR,11837
2020,1.0,3,RJ,25537
2020,1.0,3,RN,5712
2020,1.0,3,RO,4435
2020,1.0,3,RR,1125
2020,1.0,3,RS,19148
2020,1.0,3,SC,14106
