NU_ANO,Q024,TP_ESCOLA,SG_UF_PROVA,QTD
2020,D,3,ES,406
2020,D,3,GO,662
2020,D,3,MA,233
2020,D,3,MG,2040
2020,D,3,MS,287
2020,D,3,MT,267
2020,D,3,PA,421
2020,D,3,PB,417
2020,D,3,PE,967
2020,D,3,PI,207
2020,D,3,PR,1728
2020,D,3,RJ,2845
2020,D,3,RN,353
2020,D,3,RO,45
2020,D,3,RR,26
2020,D,3,RS,1159
2020,D,3,SC,888
2020,D,3,SE,203
2020,D,3,SP,8168
2020,D,3,TO,76
2020,E,1,AC,68
2020,E,1,AL,318
2020,E,1,AM,419
2020,E,1,AP,146
2020,E,1,BA,1229
2020,E,1,CE,1109
2020,E,1,DF,2041
2020,E,1,ES,684
2020,E,1,GO,955
2020,E,1,MA,410
2020,E,1,MG,4313
2020,E,1,MS,389
2020,E,1,MT,483
2020,E,1,PA,642
2020,E,1,PB,718
2020,E,1,PE,1538
2020,E,1,PI,381
2020,E,1,PR,2201
2020,E,1,RJ,3770
2020,E,1,RN,654
2020,E,1,RO,141
2020,E,1,RR,83
2020,E,1,RS,1988
2020,E,1,SC,1063
2020,E,1,SE,307
2020,E,1,SP,11265
2020,E,1,TO,154
2020,E,2,AC,16
2020,E,2,AL,17
2020,E,2,AM,89
2020,E,2,AP,15
2020,E,2,BA,93
2020,E,2,CE,59
2020,E,2,DF,242
2020,E,2,ES,112
2020,E,2,GO,99
2020,E,2,MA,22
2020,E,2,MG,526
2020,E,2,MS,96
2020,E,2,MT,58
2020,E,2,PA,56
2020,E,2,PB,20
2020,E,2,PE,82
2020,E,2,PI,17
2020,E,2,PR,495
2020,E,2,RJ,344
2020,E,2,RN,48
2020,E,2,RO,43
2020,E,2,RR,23
2020,E,2,RS,384
2020,E,2,SC,303
2020,E,2,SE,14
2020,E,2,SP,1261
2020,E,2,TO,24
2020,E,3,AC,4
2020,E,3,AL,90
2020,E,3,AM,100
2020,E,3,AP,25
2020,E,3,BA,436
2020,E,3,CE,364
2020,E,3,DF,775
2020,E,3,ES,194
2020,E,3,GO,322
2020,E,3,MA,119
2020,E,3,MG,1205
2020,E,3,MS,113
2020,E,3,MT,113
2020,E,3,PA,169
2020,E,3,PB,202
2020,E,3,PE,497
2020,E,3,PI,93
2020,E,3,PR,984
2020,E,3,RJ,1726
2020,E,3,RN,158
2020,E,3,RO,28
2020,E,3,RR,20
2020,E,3,RS,700
2020,E,3,SC,479
2020,E,3,SE,84
2020,E,3,SP,5438
2020,E,3,TO,41
2021,A,1,AC,8994
2021,A,1,AL,22525
2021,A,1,AM,27930
2021,A,1,AP,10192
2021,A,1,BA,87657
2021,A,1,CE,56430
2021,A,1,DF,11748
2021,A,1,ES,12853
2021,A,1,GO,26816
2021,A,1,MA,59780
2021,A,1,MG,65597
2021,A,1,MS,10294
2021,A,1,MT,14291
2021,A,1,PA,92706
2021,A,1,PB,37593
2021,A,1,PE,66362
2021,A,1,PI,33820
2021,A,1,PR,20985
2021,A,1,RJ,51264
2021,A,1,RN,26272
2021,A,1,RO,9388
2021,A,1,RR,2568
2021,A,1,RS,26701
2021,A,1,SC,10875
2021,A,1,SE,21106
2021,A,1,SP,79607
2021,A,1,TO,9606
2021,A,2,AC,3107
2021,A,2,AL,8061
2021,A,2,AM,30571
2021,A,2,AP,3022
2021,A,2,BA,50927
2021,A,2,CE,86531
2021,A,2,DF,5271
2021,A,2,ES,8460
2021,A,2,GO,32571
2021,A,2,MA,23788
2021,A,2,MG,29795
2021,A,2,MS,6000
2021,A,2,MT,7087
2021,A,2,PA,27399
2021,A,2,PB,15227
2021,A,2,PE,37304
2021,A,2,PI,12794
2021,A,2,PR,14684
2021,A,2,RJ,21627
2021,A,2,RN,9063
2021,A,2,RO,5418
2021,A,2,RR,1180
2021,A,2,RS,12512
2021,A,2,SC,8076
2021,A,2,SE,8581
2021,A,2,SP,40257
2021,A,2,TO,6059
2021,A,3,AC,43
2021,A,3,AL,809
2021,A,3,AM,174
2021,A,3,AP,77
2021,A,3,BA,1794
2021,A,3,CE,1081
2021,A,3,DF,282
2021,A,3,ES,143
2021,A,3,GO,604
2021,A,3,MA,602
2021,A,3,MG,617
2021,A,3,MS,143
2021,A,3,MT,170
2021,A,3,PA,1439
2021,A,3,PB,767
2021,A,3,PE,1285
2021,A,3,PI,584
2021,A,3,PR,375
2021,A,3,RJ,2040
2021,A,3,RN,570
2021,A,3,RO,59
2021,A,3,RR,25
2021,A,3,RS,284
2021,A,3,SC,262
2021,A,3,SE,646
2021,A,3,SP,2235
2021,A,3,TO,82
2021,B,1,AC,5105
2021,B,1,AL,15098
2021,B,1,AM,15378
2021,B,1,AP,5087
2021,B,1,BA,71559
2021,B,1,CE,40619
2021,B,1,DF,20495
2021,B,1,ES,20547
2021,B,1,GO,34508
2021,B,1,MA,27595
2021,B,1,MG,118249
2021,B,1,MS,12235
2021,B,1,MT,17618
2021,B,1,PA,40965
2021,B,1,PB,29074
2021,B,1,PE,50915
2021,B,1,PI,20105
2021,B,1,PR,42807
2021,B,1,RJ,78398
