NU_ANO,TP_LOCALIZACAO_ESC,Q024,SG_UF_PROVA,QTD
2021,2.0,B,AL,63
2021,2.0,B,AM,191
2021,2.0,B,AP,17
2021,2.0,B,BA,587
2021,2.0,B,CE,412
2021,2.0,B,DF,147
2021,2.0,B,ES,325
2021,2.0,B,GO,329
2021,2.0,B,MA,318
2021,2.0,B,MG,959
2021,2.0,B,MS,209
2021,2.0,B,MT,435
2021,2.0,B,PA,185
2021,2.0,B,PB,162
2021,2.0,B,PE,389
2021,2.0,B,PI,63
2021,2.0,B,PR,505
2021,2.0,B,RJ,475
2021,2.0,B,RN,184
2021,2.0,B,RO,182
2021,2.0,B,RR,45
2021,2.0,B,RS,653
2021,2.0,B,SC,365
2021,2.0,B,SE,87
2021,2.0,B,SP,658
2021,2.0,B,TO,104
2021,2.0,C,AC,3
2021,2.0,C,AL,4
2021,2.0,C,AM,20
2021,2.0,C,AP,2
2021,2.0,C,BA,44
2021,2.0,C,CE,24
2021,2.0,C,DF,22
2021,2.0,C,ES,86
2021,2.0,C,GO,72
2021,2.0,C,MA,36
2021,2.0,C,MG,256
2021,2.0,C,MS,40
2021,2.0,C,MT,74
2021,2.0,C,PA,13
2021,2.0,C,PB,18
2021,2.0,C,PE,50
2021,2.0,C,PI,2
2021,2.0,C,PR,110
2021,2.0,C,RJ,90
2021,2.0,C,RN,30
2021,2.0,C,RO,34
2021,2.0,C,RR,9
2021,2.0,C,RS,193
2021,2.0,C,SC,85
2021,2.0,C,SE,11
2021,2.0,C,SP,196
2021,2.0,C,TO,23
2021,2.0,D,AC,1
2021,2.0,D,AL,2
2021,2.0,D,AM,5
2021,2.0,D,BA,14
2021,2.0,D,CE,9
2021,2.0,D,DF,8
2021,2.0,D,ES,25
2021,2.0,D,GO,21
2021,2.0,D,MA,14
2021,2.0,D,MG,86
2021,2.0,D,MS,10
2021,2.0,D,MT,28
2021,2.0,D,PA,1
2021,2.0,D,PB,2
2021,2.0,D,PE,13
2021,2.0,D,PI,3
2021,2.0,D,PR,26
2021,2.0,D,RJ,16
2021,2.0,D,RN,16
2021,2.0,D,RO,9
2021,2.0,D,RR,4
2021,2.0,D,RS,49
2021,2.0,D,SC,29
2021,2.0,D,SE,1
2021,2.0,D,SP,74
2021,2.0,D,TO,4
2021,2.0,E,BA,2
2021,2.0,E,DF,2
2021,2.0,E,ES,6
2021,2.0,E,GO,8
2021,2.0,E,MA,5
2021,2.0,E,MG,26
2021,2.0,E,MS,3
2021,2.0,E,MT,7
2021,2.0,E,PB,2
2021,2.0,E,PE,9
2021,2.0,E,PR,11
2021,2.0,E,RJ,6
2021,2.0,E,RN,5
2021,2.0,E,RO,5
2021,2.0,E,RR,1
2021,2.0,E,RS,10
2021,2.0,E,SC,9
2021,2.0,E,SE,1
2021,2.0,E,SP,43
2021,2.0,E,TO,1
2022,1.0,A,AC,2501
2022,1.0,A,AL,9305
2022,1.0,A,AM,17624
2022,1.0,A,AP,2179
2022,1.0,A,BA,22821
2022,1.0,A,CE,75204
2022,1.0,A,DF,4979
2022,1.0,A,ES,7088
2022,1.0,A,GO,20759
2022,1.0,A,MA,17692
2022,1.0,A,MG,21014
2022,1.0,A,MS,5249
2022,1.0,A,MT,6782
2022,1.0,A,PA,21632
2022,1.0,A,PB,12582
2022,1.0,A,PE,25627
2022,1.0,A,PI,10050
2022,1.0,A,PR,14318
2022,1.0,A,RJ,24827
2022,1.0,A,RN,8136
2022,1.0,A,RO,4861
2022,1.0,A,RR,982
2022,1.0,A,RS,11806
2022,1.0,A,SC,7873
2022,1.0,A,SE,6671
2022,1.0,A,SP,51958
2022,1.0,A,TO,4024
2022,1.0,B,AC,1132
2022,1.0,B,AL,3986
2022,1.0,B,AM,6367
2022,1.0,B,AP,1061
2022,1.0,B,BA,14183
2022,1.0,B,CE,16481
2022,1.0,B,DF,7639
2022,1.0,B,ES,8338
2022,1.0,B,GO,18898
2022,1.0,B,MA,5689
2022,1.0,B,MG,29879
2022,1.0,B,MS,5022
2022,1.0,B,MT,6554
2022,1.0,B,PA,8497
2022,1.0,B,PB,5660
2022,1.0,B,PE,11659
2022,1.0,B,PI,4047
2022,1.0,B,PR,21739
2022,1.0,B,RJ,27205
2022,1.0,B,RN,6168
2022,1.0,B,RO,3296
2022,1.0,B,RR,733
2022,1.0,B,RS,18906
2022,1.0,B,SC,14924
2022,1.0,B,SE,2884
2022,1.0,B,SP,81828
2022,1.0,B,TO,2225
2022,1.0,C,AC,283
2022,1.0,C,AL,888
2022,1.0,C,AM,1255
2022,1.0,C,AP,287
2022,1.0,C,BA,3315
2022,1.0,C,CE,3327
2022,1.0,C,DF,3307
2022,1.0,C,ES,2419
2022,1.0,C,GO,4822
2022,1.0,C,MA,1107
2022,1.0,C,MG,9928
2022,1.0,C,MS,1397
2022,1.0,C,MT,1704
2022,1.0,C,PA,1929
2022,1.0,C,PB,1353
2022,1.0,C,PE,2887
2022,1.0,C,PI,1055
2022,1.0,C,PR,7812
2022,1.0,C,RJ,8885
2022,1.0,C,RN,1480
2022,1.0,C,RO,729
2022,1.0,C,RR,221
2022,1.0,C,RS,6194
2022,1.0,C,SC,5172
2022,1.0,C,SE,745
2022,1.0,C,SP,29011
2022,1.0,C,TO,554
2022,1.0,D,AC,95
2022,1.0,D,AL,330
2022,1.0,D,AM,481
2022,1.0,D,AP,114
2022,1.0,D,BA,1297
2022,1.0,D,CE,1231
2022,1.0,D,DF,1869
2022,1.0,D,ES,901
2022,1.0,D,GO,1534
2022,1.0,D,MA,409
2022,1.0,D,MG,3810
2022,1.0,D,MS,553
2022,1.0,D,MT,591
2022,1.0,D,PA,644
2022,1.0,D,PB,579
2022,1.0,D,PE,1370
2022,1.0,D,PI,385
2022,1.0,D,PR,3120
2022,1.0,D,RJ,3906
2022,1.0,D,RN,560
2022,1.0,D,RO,196
2022,1.0,D,RR,71
2022,1.0,D,RS,2417
2022,1.0,D,SC,1918
2022,1.0,D,SE,272
2022,1.0,D,SP,12313
2022,1.0,D,TO,180
2022,1.0,E,AC,37
2022,1.0,E,AL,142
2022,1.0,E,AM,229
2022,1.0,E,AP,49
2022,1.0,E,BA,592
2022,1.0,E,CE,609
2022,1.0,E,DF,1148
2022,1.0,E,ES,393
2022,1.0,E,GO,644
2022,1.0,E,MA,167
2022,1.0,E,MG,2032
2022,1.0,E,MS,242
2022,1.0,E,MT,204
2022,1.0,E,PA,270
2022,1.0,E,PB,272
2022,1.0,E,PE,731
2022,1.0,E,PI,155
2022,1.0,E,PR,1643
2022,1.0,E,RJ,2193
2022,1.0,E,RN,256
2022,1.0,E,RO,92
2022,1.0,E,RR,26
2022,1.0,E,RS,1178
2022,1.0,E,SC,849
2022,1.0,E,SE,110
2022,1.0,E,SP,7311
2022,1.0,E,TO,79
2022,2.0,A,AC,270
2022,2.0,A,AL,593
2022,2.0,A,AM,1556
2022,2.0,A,AP,217
2022,2.0,A,BA,1565
2022,2.0,A,CE,4937
2022,2.0,A,DF,230
2022,2.0,A,ES,248
2022,2.0,A,GO,459
2022,2.0,A,MA,2190
2022,2.0,A,MG,772
2022,2.0,A,MS,419
2022,2.0,A,MT,504
2022,2.0,A,PA,1420
2022,2.0,A,PB,477
2022,2.0,A,PE,1418
2022,2.0,A,PI,529
2022,2.0,A,PR,781
2022,2.0,A,RJ,825
2022,2.0,A,RN,285
2022,2.0,A,RO,224
2022,2.0,A,RR,122
2022,2.0,A,RS,425
2022,2.0,A,SC,263
2022,2.0,A,SE,365
2022,2.0,A,SP,1000
2022,2.0,A,TO,354
2022,2.0,B,AC,50
2022,2.0,B,AL,83
2022,2.0,B,AM,161
2022,2.0,B,AP,23
2022,2.0,B,BA,555
2022,2.0,B,CE,538
2022,2.0,B,DF,154
2022,2.0,B,ES,367
2022,2.0,B,GO,318
2022,2.0,B,MA,372
2022,2.0,B,MG,919
2022,2.0,B,MS,225
2022,2.0,B,MT,440
2022,2.0,B,PA,211
2022,2.0,B,PB,136
2022,2.0,B,PE,400
2022,2.0,B,PI,78
