NU_ANO,TP_COR_RACA,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,1,6,PB,1149
2019,1,6,PE,1727
2019,1,6,PI,481
2019,1,6,PR,2793
2019,1,6,RJ,2827
2019,1,6,RN,1368
2019,1,6,RO,420
2019,1,6,RR,51
2019,1,6,RS,4428
2019,1,6,SC,1328
2019,1,6,SE,308
2019,1,6,SP,7153
2019,1,6,TO,196
2019,1,6,AC,648
2019,1,6,AL,1683
2019,1,6,AM,1583
2019,1,6,AP,718
2019,1,6,BA,3655
2019,1,6,CE,3680
2019,1,6,DF,2099
2019,1,6,ES,2359
2019,1,6,GO,2956
2019,1,6,MA,3016
2019,1,6,MG,13054
2019,1,6,MS,2365
2019,1,6,MT,1796
2019,1,6,PA,3335
2019,1,6,PB,3975
2019,1,6,PE,5705
2019,1,6,PI,1522
2019,1,6,PR,8583
2019,1,6,RJ,8524
2019,1,6,RN,4569
2019,1,6,RO,1363
2019,1,6,RR,179
2019,1,6,RS,13136
2019,1,6,SC,4143
2019,1,6,SE,846
2019,1,6,SP,21619
2019,1,6,TO,561
2019,1,6,AC,375
2019,1,6,AL,924
2019,1,6,AM,906
2019,1,6,AP,436
2019,1,6,BA,2059
2019,1,6,CE,2189
2019,1,6,DF,1244
2019,1,6,ES,1323
2019,1,6,GO,1719
2019,1,6,MA,1710
2019,1,6,MG,6907
2019,1,6,MS,1431
2019,1,6,MT,1111
2019,1,6,PA,1995
2019,1,6,PB,2329
2019,1,6,PE,3190
2019,1,6,PI,906
2019,1,6,PR,4395
2019,1,6,RJ,4613
2019,1,6,RN,2766
2019,1,6,RO,747
2019,1,6,RR,89
2019,1,6,RS,7450
2019,1,6,SC,2125
2019,1,6,SE,539
2019,1,6,SP,11883
2019,1,6,TO,254
2019,1,6,AC,249
2019,1,6,AL,655
2019,1,6,AM,639
2019,1,6,AP,282
2019,1,6,BA,1507
2019,1,6,CE,1352
2019,1,6,DF,1047
2019,1,6,ES,903
2019,1,6,GO,1182
2019,1,6,MA,1086
2019,1,6,MG,4834
2019,1,6,MS,1013
2019,1,6,MT,781
2019,1,6,PA,1463
2019,1,6,PB,1529
2019,1,6,PE,2209
2019,1,6,PI,514
2019,1,6,PR,2922
2019,1,6,RJ,3353
2019,1,6,RN,1782
2019,1,6,RO,555
2019,1,6,RR,68
2019,1,6,RS,5095
2019,1,6,SC,1402
2019,1,6,SE,354
2019,1,6,SP,8212
2019,1,6,TO,210
2019,1,6,AC,149
2019,1,6,AL,403
2019,1,6,AM,393
2019,1,6,AP,169
2019,1,6,BA,904
2019,1,6,CE,790
2019,1,6,DF,681
2019,1,6,ES,575
2019,1,6,GO,776
2019,1,6,MA,594
2019,1,6,MG,2956
2019,1,6,MS,577
2019,1,6,MT,477
2019,1,6,PA,924
2019,1,6,PB,858
2019,1,6,PE,1355
2019,1,6,PI,304
2019,1,6,PR,1803
2019,1,6,RJ,2365
2019,1,6,RN,960
2019,1,6,RO,285
2019,1,6,RR,39
2019,1,6,RS,3035
2019,1,6,SC,769
2019,1,6,SE,198
2019,1,6,SP,5353
2019,1,6,TO,83
2019,1,6,AC,67
2019,1,6,AL,233
2019,1,6,AM,248
2019,1,6,AP,95
2019,1,6,BA,603
2019,1,6,CE,520
2019,1,6,DF,509
2019,1,6,ES,414
2019,1,6,GO,495
2019,1,6,MA,385
2019,1,6,MG,2103
2019,1,6,MS,316
2019,1,6,MT,327
2019,1,6,PA,588
2019,1,6,PB,523
2019,1,6,PE,860
2019,1,6,PI,166
2019,1,6,PR,1013
2019,1,6,RJ,1813
2019,1,6,RN,608
2019,1,6,RO,160
2019,1,6,RR,17
2019,1,6,RS,1939
2019,1,6,SC,469
2019,1,6,SE,125
2019,1,6,SP,3643
2019,1,6,TO,65
2019,1,6,AC,30
2019,1,6,AL,132
2019,1,6,AM,127
2019,1,6,AP,54
2019,1,6,BA,378
2019,1,6,CE,325
2019,1,6,DF,308
2019,1,6,ES,236
2019,1,6,GO,270
2019,1,6,MA,201
2019,1,6,MG,1388
2019,1,6,MS,178
2019,1,6,MT,184
2019,1,6,PA,307
2019,1,6,PB,304
2019,1,6,PE,519
2019,1,6,PI,121
2019,1,6,PR,538
2019,1,6,RJ,1356
2019,1,6,RN,318
2019,1,6,RO,75
2019,1,6,RR,6
2019,1,6,RS,1258
2019,1,6,SC,231
2019,1,6,SE,67
2019,1,6,SP,2219
2019,1,6,TO,32
2019,1,6,AC,7
2019,1,6,AL,56
2019,1,6,AM,55
2019,1,6,AP,34
2019,1,6,BA,183
2019,1,6,CE,142
2019,1,6,DF,149
2019,1,6,ES,132
2019,1,6,GO,121
2019,1,6,MA,82
2019,1,6,MG,735
2019,1,6,MS,73
2019,1,6,MT,96
2019,1,6,PA,113
2019,1,6,PB,149
2019,1,6,PE,260
2019,1,6,PI,46
2019,1,6,PR,242
2019,1,6,RJ,853
2019,1,6,RN,181
2019,1,6,RO,39
2019,1,6,RR,8
2019,1,6,RS,676
2019,1,6,SC,136
2019,1,6,SE,33
2019,1,6,SP,1139
2019,1,6,TO,13
2019,1,6,AC,3
2019,1,6,AL,15
2019,1,6,AM,21
2019,1,6,AP,12
2019,1,6,BA,81
2019,1,6,CE,50
2019,1,6,DF,56
2019,1,6,ES,40
2019,1,6,GO,57
2019,1,6,MA,26
2019,1,6,MG,284
2019,1,6,MS,28
2019,1,6,MT,38
2019,1,6,PA,57
2019,1,6,PB,50
2019,1,6,PE,103
2019,1,6,PI,24
2019,1,6,PR,99
2019,1,6,RJ,383
2019,1,6,RN,53
2019,1,6,RO,7
2019,1,6,RR,2
2019,1,6,RS,267
2019,1,6,SC,45
2019,1,6,SE,12
2019,1,6,SP,430
2019,1,6,TO,4
2019,1,6,AC,1
2019,1,6,AL,2
2019,1,6,AM,6
2019,1,6,AP,3
2019,1,6,BA,28
2019,1,6,CE,29
2019,1,6,DF,24
2019,1,6,ES,16
2019,1,6,GO,20
2019,1,6,MA,11
2019,1,6,MG,106
2019,1,6,MS,12
2019,1,6,MT,6
2019,1,6,PA,15
2019,1,6,PB,17
2019,1,6,PE,41
2019,1,6,PI,6
2019,1,6,PR,45
2019,1,6,RJ,148
2019,1,6,RN,17
2019,1,6,RO,6
2019,1,6,RS,80
2019,1,6,SC,16
2019,1,6,SE,2
2019,1,6,SP,183
2019,1,6,TO,1
2019,1,6,AC,1
2019,1,6,AM,2
2019,1,6,AP,2
2019,1,6,BA,13
2019,1,6,CE,9
2019,1,6,DF,15
2019,1,6,ES,8
2019,1,6,GO,2
2019,1,6,MA,3
2019,1,6,MG,35
2019,1,6,MS,4
2019,1,6,MT,5
2019,1,6,PA,9
2019,1,6,PB,7
2019,1,6,PE,16
2019,1,6,PI,3
2019,1,6,PR,9
2019,1,6,RJ,67
2019,1,6,RN,7
2019,1,6,RO,2
2019,1,6,RS,34
2019,1,6,SC,6
2019,1,6,SP,65
2019,1,6,TO,3
2019,2,1,AC,135
2019,2,1,AL,369
2019,2,1,AM,154
2019,2,1,AP,205
2019,2,1,BA,4725
2019,2,1,CE,1424
2019,2,1,DF,368
2019,2,1,ES,323
2019,2,1,GO,1266
2019,2,1,MA,1698
2019,2,1,MG,2600
2019,2,1,MS,256
2019,2,1,MT,590
2019,2,1,PA,1560
2019,2,1,PB,695
2019,2,1,PE,1899
2019,2,1,PI,1081
2019,2,1,PR,333
2019,2,1,RJ,1580
2019,2,1,RN,298
2019,2,1,RO,219
2019,2,1,RR,50
2019,2,1,RS,208
2019,2,1,SC,119
2019,2,1,SE,681
2019,2,1,SP,2727
2019,2,1,TO,468
2019,2,2,AC,416
2019,2,2,AL,1046
2019,2,2,AM,556
2019,2,2,AP,488
2019,2,2,BA,10681
2019,2,2,CE,3905
2019,2,2,DF,1402
2019,2,2,ES,1504
2019,2,2,GO,2850
2019,2,2,MA,3467
2019,2,2,MG,8455
2019,2,2,MS,695
2019,2,2,MT,1614
2019,2,2,PA,3125
2019,2,2,PB,1397
2019,2,2,PE,4273
2019,2,2,PI,2071
2019,2,2,PR,1685
2019,2,2,RJ,5947
2019,2,2,RN,948
2019,2,2,RO,482
2019,2,2,RR,93
2019,2,2,RS,956
2019,2,2,SC,550
2019,2,2,SE,1179
2019,2,2,SP,18399
2019,2,2,TO,978
2019,2,3,AC,598
2019,2,3,AL,1451
2019,2,3,AM,883
2019,2,3,AP,683
2019,2,3,BA,14236
2019,2,3,CE,4999
2019,2,3,DF,2072
2019,2,3,ES,2439
2019,2,3,GO,3570
2019,2,3,MA,4353
2019,2,3,MG,11809
2019,2,3,MS,759
2019,2,3,MT,1961
2019,2,3,PA,4259
2019,2,3,PB,1870
2019,2,3,PE,5397
2019,2,3,PI,2717
2019,2,3,PR,1644
2019,2,3,RJ,9673
2019,2,3,RN,1476
2019,2,3,RO,882
2019,2,3,RR,148
2019,2,3,RS,2054
