NU_ANO,TP_SEXO,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2022,M,2.0,SE,211
2022,M,2.0,SP,998
2022,M,2.0,TO,245
2023,F,1.0,AC,2030
2023,F,1.0,AL,10752
2023,F,1.0,AM,13335
2023,F,1.0,AP,2126
2023,F,1.0,BA,23030
2023,F,1.0,CE,47006
2023,F,1.0,DF,10790
2023,F,1.0,ES,10820
2023,F,1.0,GO,23319
2023,F,1.0,MA,15910
2023,F,1.0,MG,35939
2023,F,1.0,MS,6181
2023,F,1.0,MT,8847
2023,F,1.0,PA,18322
2023,F,1.0,PB,12484
2023,F,1.0,PE,23485
2023,F,1.0,PI,9483
2023,F,1.0,PR,29117
2023,F,1.0,RJ,35547
2023,F,1.0,RN,9090
2023,F,1.0,RO,5414
2023,F,1.0,RR,1189
2023,F,1.0,RS,21955
2023,F,1.0,SC,17805
2023,F,1.0,SE,5653
2023,F,1.0,SP,102871
2023,F,1.0,TO,3692
2023,F,2.0,AC,277
2023,F,2.0,AL,584
2023,F,2.0,AM,788
2023,F,2.0,AP,131
2023,F,2.0,BA,1390
2023,F,2.0,CE,2856
2023,F,2.0,DF,280
2023,F,2.0,ES,483
2023,F,2.0,GO,429
2023,F,2.0,MA,1868
2023,F,2.0,MG,1177
2023,F,2.0,MS,360
2023,F,2.0,MT,607
2023,F,2.0,PA,1094
2023,F,2.0,PB,436
2023,F,2.0,PE,1094
2023,F,2.0,PI,437
2023,F,2.0,PR,916
2023,F,2.0,RJ,825
2023,F,2.0,RN,271
2023,F,2.0,RO,260
2023,F,2.0,RR,129
2023,F,2.0,RS,642
2023,F,2.0,SC,400
2023,F,2.0,SE,253
2023,F,2.0,SP,1309
2023,F,2.0,TO,256
2023,M,1.0,AC,1697
2023,M,1.0,AL,8677
2023,M,1.0,AM,11617
2023,M,1.0,AP,1951
2023,M,1.0,BA,18062
2023,M,1.0,CE,45495
2023,M,1.0,DF,8854
2023,M,1.0,ES,8858
2023,M,1.0,GO,21668
2023,M,1.0,MA,12694
2023,M,1.0,MG,28890
2023,M,1.0,MS,5111
2023,M,1.0,MT,6803
2023,M,1.0,PA,14787
2023,M,1.0,PB,11158
2023,M,1.0,PE,20057
2023,M,1.0,PI,8073
2023,M,1.0,PR,23363
2023,M,1.0,RJ,26841
2023,M,1.0,RN,7486
2023,M,1.0,RO,4351
2023,M,1.0,RR,874
2023,M,1.0,RS,16506
2023,M,1.0,SC,13197
2023,M,1.0,SE,4533
2023,M,1.0,SP,82060
2023,M,1.0,TO,3001
2023,M,2.0,AC,193
2023,M,2.0,AL,464
2023,M,2.0,AM,781
2023,M,2.0,AP,121
2023,M,2.0,BA,941
2023,M,2.0,CE,2777
2023,M,2.0,DF,109
2023,M,2.0,ES,377
2023,M,2.0,GO,479
2023,M,2.0,MA,1388
2023,M,2.0,MG,866
2023,M,2.0,MS,272
2023,M,2.0,MT,500
2023,M,2.0,PA,799
2023,M,2.0,PB,386
2023,M,2.0,PE,925
2023,M,2.0,PI,373
2023,M,2.0,PR,715
2023,M,2.0,RJ,600
2023,M,2.0,RN,254
2023,M,2.0,RO,167
2023,M,2.0,RR,91
2023,M,2.0,RS,551
2023,M,2.0,SC,363
2023,M,2.0,SE,219
2023,M,2.0,SP,1119
2023,M,2.0,TO,268
