NU_ANO,TP_ESCOLA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2021,3,2.0,MA,55
2021,3,2.0,MG,18
2021,3,2.0,MS,8
2021,3,2.0,PA,6
2021,3,2.0,PE,39
2021,3,2.0,PR,53
2021,3,2.0,RJ,91
2021,3,2.0,RN,5
2021,3,2.0,RO,2
2021,3,2.0,RS,1
2021,3,2.0,SC,48
2021,3,2.0,SE,1
2021,3,2.0,SP,200
2021,3,2.0,TO,11
2022,2,1.0,AC,3694
2022,2,1.0,AL,11522
2022,2,1.0,AM,24426
2022,2,1.0,AP,3193
2022,2,1.0,BA,31828
2022,2,1.0,CE,89678
2022,2,1.0,DF,13172
2022,2,1.0,ES,16139
2022,2,1.0,GO,40301
2022,2,1.0,MA,22307
2022,2,1.0,MG,51388
2022,2,1.0,MS,10477
2022,2,1.0,MT,13398
2022,2,1.0,PA,27384
2022,2,1.0,PB,16281
2022,2,1.0,PE,34286
2022,2,1.0,PI,12523
2022,2,1.0,PR,37805
2022,2,1.0,RJ,45699
2022,2,1.0,RN,12876
2022,2,1.0,RO,8648
2022,2,1.0,RR,1827
2022,2,1.0,RS,32863
2022,2,1.0,SC,24532
2022,2,1.0,SE,8038
2022,2,1.0,SP,130868
2022,2,1.0,TO,6380
2022,2,2.0,AC,324
2022,2,2.0,AL,675
2022,2,2.0,AM,1741
2022,2,2.0,AP,243
2022,2,2.0,BA,2139
2022,2,2.0,CE,5517
2022,2,2.0,DF,408
2022,2,2.0,ES,732
2022,2,2.0,GO,797
2022,2,2.0,MA,2567
2022,2,2.0,MG,1968
2022,2,2.0,MS,689
2022,2,2.0,MT,1038
2022,2,2.0,PA,1646
2022,2,2.0,PB,631
2022,2,2.0,PE,1861
2022,2,2.0,PI,613
2022,2,2.0,PR,1458
2022,2,2.0,RJ,1346
2022,2,2.0,RN,501
2022,2,2.0,RO,492
2022,2,2.0,RR,188
2022,2,2.0,RS,1384
2022,2,2.0,SC,757
2022,2,2.0,SE,465
2022,2,2.0,SP,2031
2022,2,2.0,TO,508
2022,3,1.0,AC,354
2022,3,1.0,AL,3129
2022,3,1.0,AM,1530
2022,3,1.0,AP,497
2022,3,1.0,BA,10380
2022,3,1.0,CE,7174
2022,3,1.0,DF,5770
2022,3,1.0,ES,3000
2022,3,1.0,GO,6356
2022,3,1.0,MA,2757
2022,3,1.0,MG,15275
2022,3,1.0,MS,1986
2022,3,1.0,MT,2437
2022,3,1.0,PA,5588
2022,3,1.0,PB,4165
2022,3,1.0,PE,7988
2022,3,1.0,PI,3169
2022,3,1.0,PR,10827
2022,3,1.0,RJ,21317
2022,3,1.0,RN,3724
2022,3,1.0,RO,526
2022,3,1.0,RR,206
2022,3,1.0,RS,7638
2022,3,1.0,SC,6204
2022,3,1.0,SE,2644
2022,3,1.0,SP,51553
2022,3,1.0,TO,682
2022,3,2.0,AL,5
2022,3,2.0,AM,11
2022,3,2.0,BA,49
2022,3,2.0,CE,4
2022,3,2.0,DF,2
2022,3,2.0,ES,3
2022,3,2.0,GO,61
2022,3,2.0,MA,53
2022,3,2.0,MG,38
2022,3,2.0,MS,13
2022,3,2.0,MT,7
2022,3,2.0,PA,7
2022,3,2.0,PE,36
2022,3,2.0,PI,1
2022,3,2.0,PR,38
2022,3,2.0,RJ,115
2022,3,2.0,RN,3
2022,3,2.0,RO,12
2022,3,2.0,RS,6
2022,3,2.0,SC,69
2022,3,2.0,SP,281
2022,3,2.0,TO,2
2023,1,1.0,CE,1
2023,1,1.0,MA,1
2023,2,1.0,AC,3360
2023,2,1.0,AL,15993
2023,2,1.0,AM,23158
2023,2,1.0,AP,3519
2023,2,1.0,BA,29444
2023,2,1.0,CE,85399
2023,2,1.0,DF,13442
2023,2,1.0,ES,16468
2023,2,1.0,GO,37973
2023,2,1.0,MA,25578
2023,2,1.0,MG,47936
2023,2,1.0,MS,9065
2023,2,1.0,MT,12895
2023,2,1.0,PA,26587
2023,2,1.0,PB,19322
2023,2,1.0,PE,35402
2023,2,1.0,PI,14189
