NU_ANO,Q025,TP_COR_RACA,SG_UF_PROVA,QTD
2021,A,0,SP,327
2021,A,0,TO,80
2021,A,1,AC,718
2021,A,1,AL,1125
2021,A,1,AM,2355
2021,A,1,AP,630
2021,A,1,BA,3095
2021,A,1,CE,4597
2021,A,1,DF,716
2021,A,1,ES,878
2021,A,1,GO,2315
2021,A,1,MA,4121
2021,A,1,MG,4528
2021,A,1,MS,978
2021,A,1,MT,941
2021,A,1,PA,6016
2021,A,1,PB,2569
2021,A,1,PE,4040
2021,A,1,PI,1922
2021,A,1,PR,2379
2021,A,1,RJ,3877
2021,A,1,RN,1880
2021,A,1,RO,506
2021,A,1,RR,131
2021,A,1,RS,4343
2021,A,1,SC,1026
2021,A,1,SE,1087
2021,A,1,SP,7022
2021,A,1,TO,546
2021,A,2,AC,625
2021,A,2,AL,847
2021,A,2,AM,1304
2021,A,2,AP,671
2021,A,2,BA,9139
2021,A,2,CE,2364
2021,A,2,DF,816
2021,A,2,ES,721
2021,A,2,GO,1807
2021,A,2,MA,4733
2021,A,2,MG,3834
2021,A,2,MS,382
2021,A,2,MT,947
2021,A,2,PA,7216
2021,A,2,PB,1178
2021,A,2,PE,2234
2021,A,2,PI,2466
2021,A,2,PR,412
2021,A,2,RJ,4365
2021,A,2,RN,783
2021,A,2,RO,409
2021,A,2,RR,97
2021,A,2,RS,959
2021,A,2,SC,283
2021,A,2,SE,1542
2021,A,2,SP,3039
2021,A,2,TO,854
2021,A,3,AC,3725
2021,A,3,AL,3814
2021,A,3,AM,21330
2021,A,3,AP,3148
2021,A,3,BA,13664
2021,A,3,CE,31194
2021,A,3,DF,1962
2021,A,3,ES,1744
2021,A,3,GO,6303
2021,A,3,MA,19486
2021,A,3,MG,9338
2021,A,3,MS,1716
2021,A,3,MT,2854
2021,A,3,PA,34946
2021,A,3,PB,6167
2021,A,3,PE,9888
2021,A,3,PI,9223
2021,A,3,PR,1585
2021,A,3,RJ,6238
2021,A,3,RN,3543
2021,A,3,RO,1831
2021,A,3,RR,661
2021,A,3,RS,1251
2021,A,3,SC,847
2021,A,3,SE,5170
2021,A,3,SP,6995
2021,A,3,TO,2689
2021,A,4,AC,191
2021,A,4,AL,230
2021,A,4,AM,346
2021,A,4,AP,76
2021,A,4,BA,688
2021,A,4,CE,539
2021,A,4,DF,128
2021,A,4,ES,56
2021,A,4,GO,401
2021,A,4,MA,465
2021,A,4,MG,490
2021,A,4,MS,62
2021,A,4,MT,123
2021,A,4,PA,913
2021,A,4,PB,330
2021,A,4,PE,426
2021,A,4,PI,401
2021,A,4,PR,83
2021,A,4,RJ,250
2021,A,4,RN,168
2021,A,4,RO,70
2021,A,4,RR,16
2021,A,4,RS,41
2021,A,4,SC,33
2021,A,4,SE,218
2021,A,4,SP,303
2021,A,4,TO,151
2021,A,5,AC,68
2021,A,5,AL,80
2021,A,5,AM,2318
2021,A,5,AP,89
2021,A,5,BA,272
2021,A,5,CE,253
2021,A,5,DF,29
2021,A,5,ES,28
2021,A,5,GO,74
2021,A,5,MA,151
2021,A,5,MG,111
2021,A,5,MS,355
2021,A,5,MT,99
2021,A,5,PA,316
2021,A,5,PB,276
2021,A,5,PE,458
2021,A,5,PI,71
2021,A,5,PR,48
2021,A,5,RJ,77
