NU_ANO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA,QTD
2020,3,1,DF,3640
2020,3,1,ES,1885
2020,3,1,GO,3814
2020,3,1,MA,1279
2020,3,1,MG,11092
2020,3,1,MS,1432
2020,3,1,MT,1260
2020,3,1,PA,2457
2020,3,1,PB,2542
2020,3,1,PE,5000
2020,3,1,PI,1360
2020,3,1,PR,9309
2020,3,1,RJ,16654
2020,3,1,RN,2143
2020,3,1,RO,241
2020,3,1,RR,98
2020,3,1,RS,7059
2020,3,1,SC,5052
2020,3,1,SE,1219
2020,3,1,SP,45091
2020,3,1,TO,348
2020,3,2,AC,14
2020,3,2,AL,257
2020,3,2,AM,46
2020,3,2,AP,41
2020,3,2,BA,1816
2020,3,2,CE,285
2020,3,2,DF,388
2020,3,2,ES,136
2020,3,2,GO,291
2020,3,2,MA,196
2020,3,2,MG,549
2020,3,2,MS,48
2020,3,2,MT,130
2020,3,2,PA,456
2020,3,2,PB,234
2020,3,2,PE,452
2020,3,2,PI,268
2020,3,2,PR,120
2020,3,2,RJ,1608
2020,3,2,RN,171
2020,3,2,RO,14
2020,3,2,RR,11
2020,3,2,RS,160
2020,3,2,SC,66
2020,3,2,SE,299
2020,3,2,SP,1528
2020,3,2,TO,42
2020,3,3,AC,132
2020,3,3,AL,1605
2020,3,3,AM,752
2020,3,3,AP,246
2020,3,3,BA,5145
2020,3,3,CE,3219
2020,3,3,DF,1843
2020,3,3,ES,871
2020,3,3,GO,1931
2020,3,3,MA,1429
2020,3,3,MG,3259
2020,3,3,MS,393
2020,3,3,MT,711
2020,3,3,PA,3263
2020,3,3,PB,2162
2020,3,3,PE,3200
2020,3,3,PI,1683
2020,3,3,PR,974
2020,3,3,RJ,5242
2020,3,3,RN,1379
2020,3,3,RO,206
2020,3,3,RR,122
2020,3,3,RS,395
2020,3,3,SC,330
2020,3,3,SE,1574
2020,3,3,SP,6482
2020,3,3,TO,310
2020,3,4,AC,7
2020,3,4,AL,97
2020,3,4,AM,29
2020,3,4,AP,3
2020,3,4,BA,224
2020,3,4,CE,156
2020,3,4,DF,133
2020,3,4,ES,24
2020,3,4,GO,188
2020,3,4,MA,48
2020,3,4,MG,189
2020,3,4,MS,74
2020,3,4,MT,56
2020,3,4,PA,113
2020,3,4,PB,113
2020,3,4,PE,167
2020,3,4,PI,86
2020,3,4,PR,386
2020,3,4,RJ,228
2020,3,4,RN,52
2020,3,4,RO,12
2020,3,4,RR,4
2020,3,4,RS,32
2020,3,4,SC,21
2020,3,4,SE,114
2020,3,4,SP,1989
2020,3,4,TO,19
2020,3,5,AL,13
2020,3,5,AM,6
2020,3,5,AP,1
2020,3,5,BA,36
2020,3,5,CE,14
2020,3,5,DF,7
2020,3,5,ES,8
2020,3,5,GO,5
2020,3,5,MA,4
2020,3,5,MG,16
2020,3,5,MS,2
2020,3,5,MT,2
2020,3,5,PA,21
2020,3,5,PB,19
2020,3,5,PE,19
2020,3,5,PI,6
2020,3,5,PR,4
2020,3,5,RJ,31
2020,3,5,RN,2
2020,3,5,RO,1
2020,3,5,RS,4
2020,3,5,SC,3
2020,3,5,SE,17
2020,3,5,SP,57
2020,3,5,TO,4
2021,1,0,AC,301
2021,1,0,AL,916
2021,1,0,AM,966
2021,1,0,AP,281
2021,1,0,BA,3547
2021,1,0,CE,1727
2021,1,0,DF,1248
2021,1,0,ES,644
2021,1,0,GO,1905
2021,1,0,MA,1554
2021,1,0,MG,4908
2021,1,0,MS,475
2021,1,0,MT,749
2021,1,0,PA,2402
2021,1,0,PB,1428
2021,1,0,PE,2779
2021,1,0,PI,1079
2021,1,0,PR,1431
2021,1,0,RJ,3488
2021,1,0,RN,1024
2021,1,0,RO,373
2021,1,0,RR,110
2021,1,0,RS,1728
2021,1,0,SC,773
2021,1,0,SE,825
2021,1,0,SP,4408
2021,1,0,TO,349
2021,1,1,AC,2942
2021,1,1,AL,11471
2021,1,1,AM,8360
2021,1,1,AP,3379
2021,1,1,BA,34009
2021,1,1,CE,33646
2021,1,1,DF,17187
2021,1,1,ES,16054
2021,1,1,GO,27765
2021,1,1,MA,19544
2021,1,1,MG,100644
2021,1,1,MS,12599
2021,1,1,MT,12801
2021,1,1,PA,25989
2021,1,1,PB,24964
2021,1,1,PE,43521
2021,1,1,PI,12346
2021,1,1,PR,57271
2021,1,1,RJ,73962
2021,1,1,RN,24320
2021,1,1,RO,5930
2021,1,1,RR,1251
2021,1,1,RS,78513
2021,1,1,SC,33597
2021,1,1,SE,8654
2021,1,1,SP,189825
2021,1,1,TO,4801
2021,1,2,AC,1659
2021,1,2,AL,4665
2021,1,2,AM,2855
2021,1,2,AP,2276
2021,1,2,BA,49164
2021,1,2,CE,8852
2021,1,2,DF,6423
2021,1,2,ES,6189
2021,1,2,GO,8301
2021,1,2,MA,13497
2021,1,2,MG,31459
2021,1,2,MS,2028
2021,1,2,MT,5117
2021,1,2,PA,18494
2021,1,2,PB,6895
2021,1,2,PE,15876
2021,1,2,PI,8681
2021,1,2,PR,4641
2021,1,2,RJ,30036
2021,1,2,RN,5702
2021,1,2,RO,2456
2021,1,2,RR,452
2021,1,2,RS,7614
2021,1,2,SC,2566
2021,1,2,SE,6335
2021,1,2,SP,33925
2021,1,2,TO,3031
2021,1,3,AC,9861
2021,1,3,AL,23103
2021,1,3,AM,32715
2021,1,3,AP,10573
2021,1,3,BA,85732
2021,1,3,CE,63113
2021,1,3,DF,19846
2021,1,3,ES,17603
2021,1,3,GO,32968
2021,1,3,MA,57376
2021,1,3,MG,89830
2021,1,3,MS,10737
2021,1,3,MT,18364
2021,1,3,PA,92797
2021,1,3,PB,39278
2021,1,3,PE,65287
2021,1,3,PI,35369
2021,1,3,PR,20346
2021,1,3,RJ,53915
2021,1,3,RN,28529
2021,1,3,RO,12328
2021,1,3,RR,3471
2021,1,3,RS,12512
2021,1,3,SC,8407
2021,1,3,SE,22410
2021,1,3,SP,87617
2021,1,3,TO,11383
2021,1,4,AC,458
2021,1,4,AL,1326
2021,1,4,AM,842
2021,1,4,AP,263
2021,1,4,BA,3751
2021,1,4,CE,2159
2021,1,4,DF,1072
2021,1,4,ES,530
2021,1,4,GO,2546
2021,1,4,MA,1410
2021,1,4,MG,4059
2021,1,4,MS,652
2021,1,4,MT,882
2021,1,4,PA,2668
2021,1,4,PB,1970
2021,1,4,PE,3055
2021,1,4,PI,1513
