NU_ANO,TP_ESTADO_CIVIL,Q006,SG_UF_PROVA,QTD
2019,1,A,SP,12795
2019,1,A,TO,1927
2019,1,B,AC,11891
2019,1,B,AL,29844
2019,1,B,AM,35729
2019,1,B,AP,14598
2019,1,B,BA,130147
2019,1,B,CE,115834
2019,1,B,DF,12432
2019,1,B,ES,15264
2019,1,B,GO,26984
2019,1,B,MA,80832
2019,1,B,MG,85126
2019,1,B,MS,10383
2019,1,B,MT,12072
2019,1,B,PA,92805
2019,1,B,PB,48292
2019,1,B,PE,92694
2019,1,B,PI,44571
2019,1,B,PR,16519
2019,1,B,RJ,50027
2019,1,B,RN,35746
2019,1,B,RO,10611
2019,1,B,RR,3161
2019,1,B,RS,22764
2019,1,B,SC,6809
2019,1,B,SE,27205
2019,1,B,SP,68915
2019,1,B,TO,12123
2019,1,C,AC,8108
2019,1,C,AL,18863
2019,1,C,AM,30218
2019,1,C,AP,9803
2019,1,C,BA,89178
2019,1,C,CE,69553
2019,1,C,DF,20099
2019,1,C,ES,23840
2019,1,C,GO,41789
2019,1,C,MA,49888
2019,1,C,MG,122120
2019,1,C,MS,16226
2019,1,C,MT,20181
2019,1,C,PA,64961
2019,1,C,PB,30882
2019,1,C,PE,61091
2019,1,C,PI,23994
2019,1,C,PR,40813
2019,1,C,RJ,76769
2019,1,C,RN,24941
2019,1,C,RO,14098
2019,1,C,RR,3058
2019,1,C,RS,45759
2019,1,C,SC,18677
2019,1,C,SE,16644
2019,1,C,SP,161939
2019,1,C,TO,10932
2019,1,C,AC,1921
2019,1,C,AL,5260
2019,1,C,AM,7071
2019,1,C,AP,2090
2019,1,C,BA,24513
2019,1,C,CE,14979
2019,1,C,DF,7723
2019,1,C,ES,9669
2019,1,C,GO,17400
2019,1,C,MA,11514
2019,1,C,MG,53437
2019,1,C,MS,6710
2019,1,C,MT,8693
2019,1,C,PA,16727
2019,1,C,PB,8707
2019,1,C,PE,16968
2019,1,C,PI,6769
2019,1,C,PR,23549
2019,1,C,RJ,32133
2019,1,C,RN,7940
2019,1,C,RO,4561
2019,1,C,RR,808
2019,1,C,RS,23827
2019,1,C,SC,11861
2019,1,C,SE,4659
2019,1,C,SP,84184
2019,1,C,TO,3344
2019,1,D,AC,1780
2019,1,D,AL,4094
2019,1,D,AM,6687
2019,1,D,AP,1950
