NU_ANO,TP_ESCOLA,Q022,SG_UF_PROVA,QTD
2020,1,C,PB,48646
2020,1,C,PE,84198
2020,1,C,PI,37725
2020,1,C,PR,51833
2020,1,C,RJ,93083
2020,1,C,RN,38803
2020,1,C,RO,19602
2020,1,C,RR,4262
2020,1,C,RS,65423
2020,1,C,SC,24930
2020,1,C,SE,25014
2020,1,C,SP,189876
2020,1,C,TO,14689
2020,1,D,AC,6690
2020,1,D,AL,16779
2020,1,D,AM,24028
2020,1,D,AP,7874
2020,1,D,BA,79101
2020,1,D,CE,43992
2020,1,D,DF,21289
2020,1,D,ES,21825
2020,1,D,GO,37658
2020,1,D,MA,38425
2020,1,D,MG,127391
2020,1,D,MS,14620
2020,1,D,MT,18553
2020,1,D,PA,51821
2020,1,D,PB,28383
2020,1,D,PE,57633
2020,1,D,PI,22979
2020,1,D,PR,44912
2020,1,D,RJ,73955
2020,1,D,RN,25720
2020,1,D,RO,11543
2020,1,D,RR,3059
2020,1,D,RS,49387
2020,1,D,SC,21636
2020,1,D,SE,15325
2020,1,D,SP,186214
2020,1,D,TO,10363
2020,1,E,AC,3218
2020,1,E,AL,8903
2020,1,E,AM,13054
2020,1,E,AP,4274
2020,1,E,BA,37254
2020,1,E,CE,23830
2020,1,E,DF,17704
2020,1,E,ES,13881
2020,1,E,GO,24479
2020,1,E,MA,18873
2020,1,E,MG,85745
2020,1,E,MS,8400
2020,1,E,MT,10991
2020,1,E,PA,26698
2020,1,E,PB,14928
2020,1,E,PE,32326
2020,1,E,PI,12472
2020,1,E,PR,30500
2020,1,E,RJ,47421
2020,1,E,RN,14280
2020,1,E,RO,5852
2020,1,E,RR,1977
2020,1,E,RS,26031
2020,1,E,SC,13455
2020,1,E,SE,7529
2020,1,E,SP,140657
2020,1,E,TO,5781
2020,2,A,AC,300
2020,2,A,AL,637
2020,2,A,AM,2945
2020,2,A,AP,228
2020,2,A,BA,2934
2020,2,A,CE,6058
2020,2,A,DF,489
2020,2,A,ES,415
2020,2,A,GO,1674
2020,2,A,MA,2132
2020,2,A,MG,1750
2020,2,A,MS,521
2020,2,A,MT,578
2020,2,A,PA,2112
2020,2,A,PB,725
2020,2,A,PE,2282
2020,2,A,PI,640
2020,2,A,PR,703
2020,2,A,RJ,1644
2020,2,A,RN,465
2020,2,A,RO,406
2020,2,A,RR,136
2020,2,A,RS,866
2020,2,A,SC,411
2020,2,A,SE,497
2020,2,A,SP,2796
2020,2,A,TO,565
2020,2,B,AC,1603
2020,2,B,AL,4650
2020,2,B,AM,12001
2020,2,B,AP,1823
2020,2,B,BA,21291
2020,2,B,CE,42913
2020,2,B,DF,2517
2020,2,B,ES,2966
2020,2,B,GO,10881
2020,2,B,MA,14226
2020,2,B,MG,13703
2020,2,B,MS,2640
2020,2,B,MT,3046
2020,2,B,PA,16261
2020,2,B,PB,7360
2020,2,B,PE,16971
2020,2,B,PI,7019
2020,2,B,PR,5932
2020,2,B,RJ,11802
2020,2,B,RN,4036
2020,2,B,RO,2943
2020,2,B,RR,618
2020,2,B,RS,5582
2020,2,B,SC,3045
2020,2,B,SE,4528
2020,2,B,SP,17457
2020,2,B,TO,3197
2020,2,C,AC,1926
2020,2,C,AL,5746
2020,2,C,AM,12514
2020,2,C,AP,2001
2020,2,C,BA,26177
2020,2,C,CE,37557
2020,2,C,DF,4975
2020,2,C,ES,6012
2020,2,C,GO,17935
2020,2,C,MA,13132
2020,2,C,MG,29033
2020,2,C,MS,4710
2020,2,C,MT,5464
2020,2,C,PA,16149
2020,2,C,PB,9397
2020,2,C,PE,21571
2020,2,C,PI,7476
2020,2,C,PR,14563
2020,2,C,RJ,19395
2020,2,C,RN,6455
2020,2,C,RO,4496
2020,2,C,RR,982
2020,2,C,RS,13703
2020,2,C,SC,8028
2020,2,C,SE,5346
2020,2,C,SP,41010
2020,2,C,TO,4234
2020,2,D,AC,1500
2020,2,D,AL,3870
2020,2,D,AM,8571
2020,2,D,AP,1477
2020,2,D,BA,19988
2020,2,D,CE,16770
2020,2,D,DF,6783
2020,2,D,ES,8067
2020,2,D,GO,18751
2020,2,D,MA,8374
2020,2,D,MG,37712
2020,2,D,MS,5886
2020,2,D,MT,6827
2020,2,D,PA,10529
2020,2,D,PB,6178
2020,2,D,PE,15998
2020,2,D,PI,4864
2020,2,D,PR,22719
2020,2,D,RJ,22207
2020,2,D,RN,5602
2020,2,D,RO,4465
2020,2,D,RR,1004
2020,2,D,RS,19009
2020,2,D,SC,13564
2020,2,D,SE,3337
2020,2,D,SP,65943
2020,2,D,TO,3962
2020,2,E,AC,826
2020,2,E,AL,1876
2020,2,E,AM,5248
2020,2,E,AP,735
2020,2,E,BA,8912
2020,2,E,CE,6357
2020,2,E,DF,5696
2020,2,E,ES,5295
2020,2,E,GO,11674
2020,2,E,MA,3912
2020,2,E,MG,26176
2020,2,E,MS,3698
2020,2,E,MT,4526
2020,2,E,PA,5273
2020,2,E,PB,2906
2020,2,E,PE,8380
2020,2,E,PI,2338
2020,2,E,PR,16108
2020,2,E,RJ,14319
2020,2,E,RN,2859
2020,2,E,RO,2557
2020,2,E,RR,755
2020,2,E,RS,10548
2020,2,E,SC,9060
2020,2,E,SE,1345
2020,2,E,SP,51187
2020,2,E,TO,2247
2020,3,A,AC,5
2020,3,A,AL,51
2020,3,A,AM,29
2020,3,A,AP,10
2020,3,A,BA,148
2020,3,A,CE,92
2020,3,A,DF,68
2020,3,A,ES,27
2020,3,A,GO,94
2020,3,A,MA,46
2020,3,A,MG,113
2020,3,A,MS,24
2020,3,A,MT,45
2020,3,A,PA,111
2020,3,A,PB,47
2020,3,A,PE,131
2020,3,A,PI,33
2020,3,A,PR,81
2020,3,A,RJ,249
2020,3,A,RN,48
2020,3,A,RO,6
2020,3,A,RR,5
2020,3,A,RS,64
2020,3,A,SC,46
2020,3,A,SE,46
2020,3,A,SP,425
2020,3,A,TO,13
2020,3,B,AC,15
2020,3,B,AL,234
2020,3,B,AM,73
2020,3,B,AP,21
2020,3,B,BA,637
2020,3,B,CE,424
2020,3,B,DF,216
2020,3,B,ES,90
2020,3,B,GO,287
2020,3,B,MA,184
2020,3,B,MG,372
2020,3,B,MS,76
2020,3,B,MT,99
2020,3,B,PA,444
2020,3,B,PB,291
2020,3,B,PE,477
2020,3,B,PI,229
2020,3,B,PR,305
2020,3,B,RJ,1171
2020,3,B,RN,137
2020,3,B,RO,23
2020,3,B,RR,10
2020,3,B,RS,292
2020,3,B,SC,134
2020,3,B,SE,229
2020,3,B,SP,1770
2020,3,B,TO,37
2020,3,C,AC,53
2020,3,C,AL,735
2020,3,C,AM,268
2020,3,C,AP,93
2020,3,C,BA,2399
2020,3,C,CE,1403
2020,3,C,DF,705
2020,3,C,ES,380
2020,3,C,GO,890
2020,3,C,MA,558
2020,3,C,MG,2090
2020,3,C,MS,263
2020,3,C,MT,307
2020,3,C,PA,1303
2020,3,C,PB,1001
2020,3,C,PE,1508
2020,3,C,PI,742
2020,3,C,PR,1397
2020,3,C,RJ,4087
2020,3,C,RN,695
2020,3,C,RO,81
2020,3,C,RR,29
2020,3,C,RS,1301
2020,3,C,SC,786
2020,3,C,SE,662
2020,3,C,SP,7226
2020,3,C,TO,98
2020,3,D,AC,103
2020,3,D,AL,1263
2020,3,D,AM,524
2020,3,D,AP,181
2020,3,D,BA,4637
2020,3,D,CE,2757
2020,3,D,DF,1957
2020,3,D,ES,1145
2020,3,D,GO,2307
2020,3,D,MA,991
2020,3,D,MG,5698
2020,3,D,MS,717
2020,3,D,MT,814
2020,3,D,PA,2319
2020,3,D,PB,1869
2020,3,D,PE,3129
2020,3,D,PI,1182
2020,3,D,PR,3993
2020,3,D,RJ,9293
2020,3,D,RN,1437
2020,3,D,RO,169
2020,3,D,RR,80
2020,3,D,RS,3095
2020,3,D,SC,2236
2020,3,D,SE,1154
2020,3,D,SP,21012
2020,3,D,TO,253
2020,3,E,AC,121
2020,3,E,AL,1287
2020,3,E,AM,617
2020,3,E,AP,233
2020,3,E,BA,4028
2020,3,E,CE,3238
2020,3,E,DF,3142
2020,3,E,ES,1310
2020,3,E,GO,2845
2020,3,E,MA,1196
2020,3,E,MG,7077
2020,3,E,MS,889
2020,3,E,MT,909
2020,3,E,PA,2281
2020,3,E,PB,1925
2020,3,E,PE,3799
2020,3,E,PI,1290
2020,3,E,PR,4995
2020,3,E,RJ,9240
2020,3,E,RN,1471
2020,3,E,RO,197
2020,3,E,RR,113
2020,3,E,RS,2939
2020,3,E,SC,2294
2020,3,E,SE,1172
2020,3,E,SP,24750
2020,3,E,TO,340
2021,1,A,AC,484
2021,1,A,AL,996
2021,1,A,AM,1563
2021,1,A,AP,485
2021,1,A,BA,3448
2021,1,A,CE,1784
2021,1,A,DF,739
2021,1,A,ES,538
2021,1,A,GO,1236
2021,1,A,MA,2512
2021,1,A,MG,2426
2021,1,A,MS,537
2021,1,A,MT,736
2021,1,A,PA,3714
2021,1,A,PB,1132
2021,1,A,PE,2549
2021,1,A,PI,981
2021,1,A,PR,878
2021,1,A,RJ,2667
2021,1,A,RN,841
2021,1,A,RO,421
2021,1,A,RR,153
2021,1,A,RS,1257
2021,1,A,SC,492
2021,1,A,SE,693
2021,1,A,SP,3651
2021,1,A,TO,440
2021,1,B,AC,3834
2021,1,B,AL,9263
2021,1,B,AM,11748
2021,1,B,AP,3962
2021,1,B,BA,38931
2021,1,B,CE,24039
2021,1,B,DF,7456
2021,1,B,ES,6290
2021,1,B,GO,11054
2021,1,B,MA,23392
2021,1,B,MG,31522
2021,1,B,MS,5148
2021,1,B,MT,6994
2021,1,B,PA,39761
2021,1,B,PB,16747
2021,1,B,PE,26237
2021,1,B,PI,13153
2021,1,B,PR,12096
2021,1,B,RJ,29401
2021,1,B,RN,11629
2021,1,B,RO,4513
2021,1,B,RR,1088
2021,1,B,RS,17733
2021,1,B,SC,7132
2021,1,B,SE,8715
2021,1,B,SP,43800
2021,1,B,TO,3879
2021,1,C,AC,5008
2021,1,C,AL,13904
2021,1,C,AM,15556
2021,1,C,AP,5456
2021,1,C,BA,58915
2021,1,C,CE,36791
2021,1,C,DF,11977
2021,1,C,ES,12021
2021,1,C,GO,20058
2021,1,C,MA,30925
2021,1,C,MG,64287
2021,1,C,MS,8096
2021,1,C,MT,11073
2021,1,C,PA,47224
2021,1,C,PB,26171
2021,1,C,PE,43616
2021,1,C,PI,19583
2021,1,C,PR,23010
2021,1,C,RJ,47436
2021,1,C,RN,20530
2021,1,C,RO,7322
2021,1,C,RR,1587
2021,1,C,RS,31525
2021,1,C,SC,12216
2021,1,C,SE,13333
2021,1,C,SP,81093
2021,1,C,TO,6098
2021,1,D,AC,3700
2021,1,D,AL,10449
2021,1,D,AM,11256
2021,1,D,AP,4075
2021,1,D,BA,48035
2021,1,D,CE,28699
2021,1,D,DF,12620
2021,1,D,ES,12730
2021,1,D,GO,22324
2021,1,D,MA,22942
2021,1,D,MG,73634
2021,1,D,MS,7506
2021,1,D,MT,11042
2021,1,D,PA,32070
2021,1,D,PB,18969
2021,1,D,PE,35806
2021,1,D,PI,15121
2021,1,D,PR,27113
2021,1,D,RJ,48230
2021,1,D,RN,16983
2021,1,D,RO,5677
2021,1,D,RR,1508
2021,1,D,RS,31133
2021,1,D,SC,14918
2021,1,D,SE,10408
2021,1,D,SP,103362
2021,1,D,TO,5642
2021,1,E,AC,2311
2021,1,E,AL,7141
2021,1,E,AM,7395
2021,1,E,AP,2910
2021,1,E,BA,27841
2021,1,E,CE,18583
2021,1,E,DF,13120
2021,1,E,ES,9613
2021,1,E,GO,19028
2021,1,E,MA,13930
2021,1,E,MG,59616
2021,1,E,MS,5794
2021,1,E,MT,8332
2021,1,E,PA,20289
2021,1,E,PB,12206
2021,1,E,PE,24143
2021,1,E,PI,10354
2021,1,E,PR,22713
2021,1,E,RJ,36153
2021,1,E,RN,10977
2021,1,E,RO,3877
2021,1,E,RR,1287
2021,1,E,RS,19252
2021,1,E,SC,11142
2021,1,E,SE,6278
2021,1,E,SP,92767
2021,1,E,TO,4290
2021,2,A,AC,197
2021,2,A,AL,368
2021,2,A,AM,2819
2021,2,A,AP,142
2021,2,A,BA,2417
2021,2,A,CE,4925
2021,2,A,DF,357
