NU_ANO,TP_FAIXA_ETARIA,Q022,SG_UF_PROVA,QTD
2019,4,D,RN,4113
2019,4,D,RO,1729
2019,4,D,RR,427
2019,4,D,RS,9206
2019,4,D,SC,4186
2019,4,D,SE,2241
2019,4,D,SP,28587
2019,4,D,TO,1529
2019,4,E,AC,500
2019,4,E,AL,1395
2019,4,E,AM,1866
2019,4,E,AP,529
2019,4,E,BA,6218
2019,4,E,CE,4220
2019,4,E,DF,3111
2019,4,E,ES,2992
2019,4,E,GO,3888
2019,4,E,MA,2701
2019,4,E,MG,15497
2019,4,E,MS,1264
2019,4,E,MT,1776
2019,4,E,PA,3511
2019,4,E,PB,2180
2019,4,E,PE,5009
2019,4,E,PI,1994
2019,4,E,PR,5151
2019,4,E,RJ,10008
2019,4,E,RN,2311
2019,4,E,RO,975
2019,4,E,RR,311
2019,4,E,RS,5058
2019,4,E,SC,2710
2019,4,E,SE,1113
2019,4,E,SP,22167
2019,4,E,TO,932
2019,5,A,AC,144
2019,5,A,AL,244
2019,5,A,AM,400
2019,5,A,AP,136
2019,5,A,BA,1172
2019,5,A,CE,938
2019,5,A,DF,180
2019,5,A,ES,146
2019,5,A,GO,217
2019,5,A,MA,882
2019,5,A,MG,624
2019,5,A,MS,119
2019,5,A,MT,153
2019,5,A,PA,1026
2019,5,A,PB,258
2019,5,A,PE,549
2019,5,A,PI,317
2019,5,A,PR,215
2019,5,A,RJ,642
2019,5,A,RN,196
2019,5,A,RO,132
2019,5,A,RR,33
2019,5,A,RS,363
2019,5,A,SC,123
2019,5,A,SE,165
2019,5,A,SP,911
2019,5,A,TO,110
2019,5,B,AC,969
2019,5,B,AL,2081
2019,5,B,AM,2422
2019,5,B,AP,1019
2019,5,B,BA,9463
2019,5,B,CE,6712
2019,5,B,DF,1105
2019,5,B,ES,1263
2019,5,B,GO,1949
2019,5,B,MA,6277
2019,5,B,MG,6135
2019,5,B,MS,951
2019,5,B,MT,1192
2019,5,B,PA,7646
2019,5,B,PB,3103
2019,5,B,PE,4761
2019,5,B,PI,3162
2019,5,B,PR,2050
2019,5,B,RJ,4917
2019,5,B,RN,2256
2019,5,B,RO,1083
2019,5,B,RR,234
2019,5,B,RS,2930
2019,5,B,SC,1063
2019,5,B,SE,1802
2019,5,B,SP,7071
2019,5,B,TO,891
2019,5,C,AC,1134
2019,5,C,AL,2822
2019,5,C,AM,3106
2019,5,C,AP,1232
2019,5,C,BA,12962
2019,5,C,CE,7818
2019,5,C,DF,2127
2019,5,C,ES,2574
2019,5,C,GO,3558
2019,5,C,MA,6572
2019,5,C,MG,12806
2019,5,C,MS,1469
2019,5,C,MT,1806
2019,5,C,PA,7862
2019,5,C,PB,4375
2019,5,C,PE,7472
