NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2021,M,4,AP,6
2021,M,4,BA,47
2021,M,4,CE,54
2021,M,4,DF,21
2021,M,4,ES,11
2021,M,4,GO,29
2021,M,4,MA,29
2021,M,4,MG,73
2021,M,4,MS,17
2021,M,4,MT,16
2021,M,4,PA,33
2021,M,4,PB,22
2021,M,4,PE,44
2021,M,4,PI,14
2021,M,4,PR,22
2021,M,4,RJ,86
2021,M,4,RN,27
2021,M,4,RO,7
2021,M,4,RS,39
2021,M,4,SC,7
2021,M,4,SE,10
2021,M,4,SP,90
2021,M,4,TO,6
2022,F,0,AC,758
2022,F,0,AL,1329
2022,F,0,AM,2047
2022,F,0,AP,704
2022,F,0,BA,6441
2022,F,0,CE,5371
2022,F,0,DF,1241
2022,F,0,ES,1256
2022,F,0,GO,3368
2022,F,0,MA,3083
2022,F,0,MG,5085
2022,F,0,MS,1144
2022,F,0,MT,1698
2022,F,0,PA,5891
2022,F,0,PB,2175
2022,F,0,PE,3507
2022,F,0,PI,2060
2022,F,0,PR,3658
2022,F,0,RJ,4137
2022,F,0,RN,1949
2022,F,0,RO,984
2022,F,0,RR,222
2022,F,0,RS,4332
2022,F,0,SC,2195
2022,F,0,SE,1377
2022,F,0,SP,9471
2022,F,0,TO,724
2022,F,1,AC,11366
2022,F,1,AL,34054
2022,F,1,AM,42048
2022,F,1,AP,12025
2022,F,1,BA,153282
2022,F,1,CE,114467
2022,F,1,DF,35369
2022,F,1,ES,34279
2022,F,1,GO,75599
2022,F,1,MA,74773
2022,F,1,MG,175798
2022,F,1,MS,23983
2022,F,1,MT,32042
2022,F,1,PA,110027
2022,F,1,PB,53989
2022,F,1,PE,103617
2022,F,1,PI,45940
2022,F,1,PR,83001
2022,F,1,RJ,139431
2022,F,1,RN,45475
2022,F,1,RO,16855
2022,F,1,RR,4680
2022,F,1,RS,85741
2022,F,1,SC,47503
2022,F,1,SE,32300
2022,F,1,SP,304932
2022,F,1,TO,16645
2022,F,2,AC,1126
2022,F,2,AL,2668
2022,F,2,AM,2277
2022,F,2,AP,651
2022,F,2,BA,8648
2022,F,2,CE,4679
2022,F,2,DF,2108
2022,F,2,ES,2541
2022,F,2,GO,4025
2022,F,2,MA,3448
2022,F,2,MG,9164
2022,F,2,MS,1602
2022,F,2,MT,2129
2022,F,2,PA,7636
2022,F,2,PB,3911
2022,F,2,PE,5792
2022,F,2,PI,2525
2022,F,2,PR,3599
2022,F,2,RJ,8520
2022,F,2,RN,3447
2022,F,2,RO,1715
2022,F,2,RR,236
2022,F,2,RS,3591
2022,F,2,SC,1462
2022,F,2,SE,1583
2022,F,2,SP,11496
2022,F,2,TO,797
2022,F,3,AC,280
2022,F,3,AL,714
2022,F,3,AM,580
2022,F,3,AP,168
2022,F,3,BA,2293
2022,F,3,CE,1247
2022,F,3,DF,701
2022,F,3,ES,667
2022,F,3,GO,1234
2022,F,3,MA,995
2022,F,3,MG,2966
2022,F,3,MS,519
2022,F,3,MT,683
2022,F,3,PA,1728
2022,F,3,PB,1066
2022,F,3,PE,1649
2022,F,3,PI,633
2022,F,3,PR,1199
2022,F,3,RJ,2711
2022,F,3,RN,928
2022,F,3,RO,435
2022,F,3,RR,85
2022,F,3,RS,1455
2022,F,3,SC,604
2022,F,3,SE,540
2022,F,3,SP,4562
2022,F,3,TO,226
2022,F,4,AC,24
2022,F,4,AL,70
2022,F,4,AM,67
2022,F,4,AP,22
2022,F,4,BA,212
2022,F,4,CE,131
2022,F,4,DF,46
2022,F,4,ES,55
2022,F,4,GO,119
2022,F,4,MA,79
2022,F,4,MG,250
2022,F,4,MS,47
2022,F,4,MT,56
2022,F,4,PA,188
2022,F,4,PB,98
2022,F,4,PE,157
2022,F,4,PI,65
2022,F,4,PR,116
2022,F,4,RJ,334
2022,F,4,RN,91
2022,F,4,RO,30
2022,F,4,RR,9
2022,F,4,RS,126
2022,F,4,SC,30
2022,F,4,SE,45
2022,F,4,SP,363
2022,F,4,TO,17
2022,M,0,AC,430
2022,M,0,AL,882
2022,M,0,AM,1513
2022,M,0,AP,468
2022,M,0,BA,3592
2022,M,0,CE,4360
2022,M,0,DF,943
2022,M,0,ES,839
2022,M,0,GO,2425
2022,M,0,MA,1919
2022,M,0,MG,3440
2022,M,0,MS,775
2022,M,0,MT,999
2022,M,0,PA,3581
2022,M,0,PB,1592
2022,M,0,PE,2526
2022,M,0,PI,1235
2022,M,0,PR,2508
2022,M,0,RJ,2947
2022,M,0,RN,1506
2022,M,0,RO,574
2022,M,0,RR,128
2022,M,0,RS,2797
2022,M,0,SC,1466
2022,M,0,SE,930
2022,M,0,SP,7493
2022,M,0,TO,418
2022,M,1,AC,7771
2022,M,1,AL,22113
2022,M,1,AM,30468
2022,M,1,AP,8013
2022,M,1,BA,84665
2022,M,1,CE,91540
2022,M,1,DF,22928
2022,M,1,ES,22098
2022,M,1,GO,51885
2022,M,1,MA,45708
2022,M,1,MG,105459
2022,M,1,MS,15326
2022,M,1,MT,20114
2022,M,1,PA,68308
2022,M,1,PB,36944
2022,M,1,PE,67203
2022,M,1,PI,29997
2022,M,1,PR,52971
2022,M,1,RJ,86299
2022,M,1,RN,31312
2022,M,1,RO,10230
2022,M,1,RR,2846
2022,M,1,RS,50934
2022,M,1,SC,27996
2022,M,1,SE,20120
2022,M,1,SP,195438
2022,M,1,TO,10042
2022,M,2,AC,643
2022,M,2,AL,1729
2022,M,2,AM,1498
2022,M,2,AP,501
2022,M,2,BA,4778
2022,M,2,CE,3544
2022,M,2,DF,1489
2022,M,2,ES,1531
2022,M,2,GO,2026
2022,M,2,MA,2221
2022,M,2,MG,5751
2022,M,2,MS,963
2022,M,2,MT,1247
