NU_ANO,TP_FAIXA_ETARIA,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,5,1,SP,51051
2019,5,1,TO,3751
2019,5,2,AC,119
2019,5,2,AL,206
2019,5,2,AM,130
2019,5,2,AP,48
2019,5,2,BA,642
2019,5,2,CE,350
2019,5,2,DF,120
2019,5,2,ES,183
2019,5,2,GO,295
2019,5,2,MA,349
2019,5,2,MG,620
2019,5,2,MS,127
2019,5,2,MT,176
2019,5,2,PA,339
2019,5,2,PB,261
2019,5,2,PE,367
2019,5,2,PI,192
2019,5,2,PR,275
2019,5,2,RJ,333
2019,5,2,RN,182
2019,5,2,RO,226
2019,5,2,RR,19
2019,5,2,RS,216
2019,5,2,SC,103
2019,5,2,SE,110
2019,5,2,SP,820
2019,5,2,TO,125
2019,5,3,AC,15
2019,5,3,AL,43
2019,5,3,AM,62
2019,5,3,AP,27
2019,5,3,BA,163
2019,5,3,CE,99
2019,5,3,DF,46
2019,5,3,ES,48
2019,5,3,GO,75
2019,5,3,MA,130
2019,5,3,MG,203
2019,5,3,MS,36
2019,5,3,MT,42
2019,5,3,PA,117
2019,5,3,PB,47
2019,5,3,PE,87
2019,5,3,PI,39
2019,5,3,PR,73
2019,5,3,RJ,160
2019,5,3,RN,41
2019,5,3,RO,31
2019,5,3,RR,13
2019,5,3,RS,96
2019,5,3,SC,28
2019,5,3,SE,24
2019,5,3,SP,266
2019,5,3,TO,30
2019,5,4,AC,2
2019,5,4,AL,1
2019,5,4,AM,4
2019,5,4,BA,11
2019,5,4,CE,2
2019,5,4,GO,2
2019,5,4,MA,7
2019,5,4,MG,3
2019,5,4,MS,1
2019,5,4,PA,1
2019,5,4,PB,2
2019,5,4,PE,3
2019,5,4,PI,2
2019,5,4,RJ,3
2019,5,4,RN,1
2019,5,4,RO,2
2019,5,4,RS,5
2019,5,4,SC,2
2019,5,4,SE,1
2019,5,4,SP,7
2019,6,0,AC,129
2019,6,0,AL,151
2019,6,0,AM,226
2019,6,0,AP,91
2019,6,0,BA,642
2019,6,0,CE,436
2019,6,0,DF,178
2019,6,0,ES,159
2019,6,0,GO,246
2019,6,0,MA,317
2019,6,0,MG,546
2019,6,0,MS,137
2019,6,0,MT,174
2019,6,0,PA,575
2019,6,0,PB,240
2019,6,0,PE,307
2019,6,0,PI,230
2019,6,0,PR,339
2019,6,0,RJ,349
2019,6,0,RN,221
2019,6,0,RO,126
2019,6,0,RR,34
2019,6,0,RS,501
2019,6,0,SC,222
2019,6,0,SE,118
2019,6,0,SP,927
2019,6,0,TO,99
2019,6,1,AC,2354
2019,6,1,AL,5592
2019,6,1,AM,7123
2019,6,1,AP,2562
2019,6,1,BA,24851
2019,6,1,CE,13979
2019,6,1,DF,5515
2019,6,1,ES,5727
2019,6,1,GO,7725
2019,6,1,MA,13066
2019,6,1,MG,29739
2019,6,1,MS,3263
2019,6,1,MT,3985
2019,6,1,PA,16932
2019,6,1,PB,8638
2019,6,1,PE,14575
2019,6,1,PI,7515
2019,6,1,PR,9319
2019,6,1,RJ,18967
2019,6,1,RN,7690
2019,6,1,RO,3028
2019,6,1,RR,710
2019,6,1,RS,12417
2019,6,1,SC,4227
2019,6,1,SE,4958
2019,6,1,SP,35081
2019,6,1,TO,2600
2019,6,2,AC,149
2019,6,2,AL,259
2019,6,2,AM,174
2019,6,2,AP,47
2019,6,2,BA,741
2019,6,2,CE,412
2019,6,2,DF,158
2019,6,2,ES,191
2019,6,2,GO,382
2019,6,2,MA,405
2019,6,2,MG,771
2019,6,2,MS,179
2019,6,2,MT,204
2019,6,2,PA,496
2019,6,2,PB,339
2019,6,2,PE,459
2019,6,2,PI,242
2019,6,2,PR,353
2019,6,2,RJ,452
2019,6,2,RN,245
2019,6,2,RO,273
2019,6,2,RR,25
2019,6,2,RS,280
2019,6,2,SC,149
2019,6,2,SE,108
2019,6,2,SP,1098
2019,6,2,TO,94
2019,6,3,AC,23
2019,6,3,AL,43
2019,6,3,AM,40
2019,6,3,AP,18
2019,6,3,BA,124
2019,6,3,CE,76
2019,6,3,DF,40
2019,6,3,ES,33
2019,6,3,GO,80
2019,6,3,MA,95
2019,6,3,MG,160
2019,6,3,MS,29
2019,6,3,MT,42
2019,6,3,PA,85
2019,6,3,PB,40
2019,6,3,PE,87
2019,6,3,PI,41
2019,6,3,PR,64
2019,6,3,RJ,123
2019,6,3,RN,35
2019,6,3,RO,35
2019,6,3,RR,5
2019,6,3,RS,85
2019,6,3,SC,23
2019,6,3,SE,15
2019,6,3,SP,230
2019,6,3,TO,28
2019,6,4,AL,2
2019,6,4,AM,1
2019,6,4,AP,1
