NU_ANO,TP_SEXO,TP_ESCOLA,SG_UF_PROVA,QTD
2023,F,3,RR,174
2023,F,3,RS,5518
2023,F,3,SC,4476
2023,F,3,SE,1649
2023,F,3,SP,34392
2023,F,3,TO,526
2023,M,1,AC,6654
2023,M,1,AL,19950
2023,M,1,AM,21565
2023,M,1,AP,8555
2023,M,1,BA,80559
2023,M,1,CE,53580
2023,M,1,DF,17812
2023,M,1,ES,16771
2023,M,1,GO,28729
2023,M,1,MA,41657
2023,M,1,MG,91458
2023,M,1,MS,11102
2023,M,1,MT,14380
2023,M,1,PA,61660
2023,M,1,PB,35305
2023,M,1,PE,56735
2023,M,1,PI,26159
2023,M,1,PR,32897
2023,M,1,RJ,70343
2023,M,1,RN,30601
2023,M,1,RO,7668
2023,M,1,RR,2327
2023,M,1,RS,37010
2023,M,1,SC,17898
2023,M,1,SE,17605
2023,M,1,SP,126585
2023,M,1,TO,7129
2023,M,2,AC,2685
2023,M,2,AL,10510
2023,M,2,AM,15757
2023,M,2,AP,2936
2023,M,2,BA,26311
2023,M,2,CE,48808
2023,M,2,DF,7816
2023,M,2,ES,10115
2023,M,2,GO,27210
2023,M,2,MA,19221
2023,M,2,MG,34176
2023,M,2,MS,6199
2023,M,2,MT,8638
2023,M,2,PA,20933
2023,M,2,PB,13213
2023,M,2,PE,24901
2023,M,2,PI,10871
2023,M,2,PR,26130
2023,M,2,RJ,24274
2023,M,2,RN,8600
2023,M,2,RO,5596
2023,M,2,RR,1114
2023,M,2,RS,18216
2023,M,2,SC,12878
2023,M,2,SE,5951
2023,M,2,SP,74914
2023,M,2,TO,4609
2023,M,3,AC,189
2023,M,3,AL,1866
2023,M,3,AM,960
2023,M,3,AP,323
2023,M,3,BA,6440
2023,M,3,CE,3851
2023,M,3,DF,3154
2023,M,3,ES,1674
2023,M,3,GO,3651
2023,M,3,MA,1707
2023,M,3,MG,8641
2023,M,3,MS,1126
2023,M,3,MT,1372
2023,M,3,PA,3549
2023,M,3,PB,2450
2023,M,3,PE,4412
2023,M,3,PI,1854
2023,M,3,PR,5814
2023,M,3,RJ,12207
2023,M,3,RN,2171
2023,M,3,RO,337
2023,M,3,RR,121
2023,M,3,RS,4466
2023,M,3,SC,3794
2023,M,3,SE,1456
2023,M,3,SP,29493
2023,M,3,TO,416
