NU_ANO,TP_ESTADO_CIVIL,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,0,6,MT,3
2019,0,6,PA,6
2019,0,6,PB,2
2019,0,6,PE,5
2019,0,6,PI,1
2019,0,6,PR,3
2019,0,6,RJ,19
2019,0,6,RN,4
2019,0,6,RO,1
2019,0,6,RR,2
2019,0,6,RS,4
2019,0,6,SC,1
2019,0,6,SE,2
2019,0,6,SP,19
2019,0,6,AC,1
2019,0,6,BA,7
2019,0,6,CE,1
2019,0,6,DF,2
2019,0,6,ES,1
2019,0,6,GO,1
2019,0,6,MA,1
2019,0,6,MG,3
2019,0,6,PI,1
2019,0,6,PR,2
2019,0,6,RJ,5
2019,0,6,RO,1
2019,0,6,RS,1
2019,0,6,SP,2
2019,1,1,AC,1793
2019,1,1,AL,5378
2019,1,1,AM,4874
2019,1,1,AP,2295
2019,1,1,BA,26724
2019,1,1,CE,25471
2019,1,1,DF,5190
2019,1,1,ES,5572
2019,1,1,GO,19085
2019,1,1,MA,17292
2019,1,1,MG,40489
2019,1,1,MS,6159
2019,1,1,MT,7644
2019,1,1,PA,18770
2019,1,1,PB,12535
2019,1,1,PE,26014
2019,1,1,PI,10827
2019,1,1,PR,19776
2019,1,1,RJ,19474
2019,1,1,RN,5697
2019,1,1,RO,3125
2019,1,1,RR,906
2019,1,1,RS,10794
2019,1,1,SC,9236
2019,1,1,SE,7035
2019,1,1,SP,68981
2019,1,1,TO,4413
2019,1,2,AC,3608
2019,1,2,AL,10621
2019,1,2,AM,12751
2019,1,2,AP,4005
2019,1,2,BA,46849
2019,1,2,CE,51109
2019,1,2,DF,12921
2019,1,2,ES,14191
2019,1,2,GO,30180
2019,1,2,MA,28059
2019,1,2,MG,79802
2019,1,2,MS,11273
2019,1,2,MT,14351
2019,1,2,PA,28941
2019,1,2,PB,17204
2019,1,2,PE,41487
2019,1,2,PI,15713
2019,1,2,PR,47586
2019,1,2,RJ,46148
2019,1,2,RN,12042
2019,1,2,RO,6007
2019,1,2,RR,1625
2019,1,2,RS,28031
2019,1,2,SC,22772
2019,1,2,SE,9171
2019,1,2,SP,211724
2019,1,2,TO,7082
2019,1,3,AC,4635
2019,1,3,AL,12914
2019,1,3,AM,17491
2019,1,3,AP,4878
2019,1,3,BA,54461
2019,1,3,CE,58737
2019,1,3,DF,15368
2019,1,3,ES,17572
2019,1,3,GO,31298
2019,1,3,MA,32350
2019,1,3,MG,92274
2019,1,3,MS,10424
2019,1,3,MT,14704
2019,1,3,PA,34857
2019,1,3,PB,19286
2019,1,3,PE,45078
2019,1,3,PI,18086
2019,1,3,PR,35803
2019,1,3,RJ,59657
2019,1,3,RN,15509
2019,1,3,RO,8602
2019,1,3,RR,2100
2019,1,3,RS,40265
2019,1,3,SC,26568
2019,1,3,SE,10198
2019,1,3,SP,143325
2019,1,3,TO,7455
2019,1,4,AC,3799
2019,1,4,AL,10257
2019,1,4,AM,12468
2019,1,4,AP,4163
2019,1,4,BA,46114
2019,1,4,CE,35023
2019,1,4,DF,10653
2019,1,4,ES,12393
2019,1,4,GO,16999
2019,1,4,MA,25881
2019,1,4,MG,62117
2019,1,4,MS,6502
2019,1,4,MT,8294
2019,1,4,PA,28557
2019,1,4,PB,15302
2019,1,4,PE,30419
2019,1,4,PI,14339
2019,1,4,PR,20435
2019,1,4,RJ,43335
2019,1,4,RN,13553
2019,1,4,RO,5703
2019,1,4,RR,1481
2019,1,4,RS,24796
2019,1,4,SC,11217
2019,1,4,SE,8688
2019,1,4,SP,79150
2019,1,4,TO,5260
2019,1,5,AC,3095
2019,1,5,AL,7545
2019,1,5,AM,9170
2019,1,5,AP,3326
2019,1,5,BA,35964
2019,1,5,CE,22017
2019,1,5,DF,7595
2019,1,5,ES,8484
2019,1,5,GO,11230
2019,1,5,MA,19042
2019,1,5,MG,43163
2019,1,5,MS,4353
2019,1,5,MT,5626
2019,1,5,PA,23080
2019,1,5,PB,11735
2019,1,5,PE,21280
2019,1,5,PI,10272
2019,1,5,PR,13338
2019,1,5,RJ,29214
2019,1,5,RN,10548
2019,1,5,RO,4072
2019,1,5,RR,1014
2019,1,5,RS,18087
2019,1,5,SC,6239
2019,1,5,SE,6899
2019,1,5,SP,51051
2019,1,5,TO,3751
2019,1,6,AC,2354
2019,1,6,AL,5592
2019,1,6,AM,7123
2019,1,6,AP,2562
2019,1,6,BA,24851
2019,1,6,CE,13979
2019,1,6,DF,5515
2019,1,6,ES,5727
2019,1,6,GO,7725
2019,1,6,MA,13066
2019,1,6,MG,29739
2019,1,6,MS,3263
2019,1,6,MT,3985
2019,1,6,PA,16932
2019,1,6,PB,8638
2019,1,6,PE,14575
2019,1,6,PI,7515
2019,1,6,PR,9319
2019,1,6,RJ,18967
2019,1,6,RN,7690
2019,1,6,RO,3028
2019,1,6,RR,710
2019,1,6,RS,12417
2019,1,6,SC,4227
2019,1,6,SE,4958
2019,1,6,SP,35081
2019,1,6,TO,2600
2019,1,6,AC,1980
2019,1,6,AL,4283
