NU_ANO,TP_LOCALIZACAO_ESC,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2021,1.0,4,MA,9
2021,1.0,4,MG,26
2021,1.0,4,MS,1
2021,1.0,4,MT,5
2021,1.0,4,PA,6
2021,1.0,4,PB,8
2021,1.0,4,PE,14
2021,1.0,4,PI,4
2021,1.0,4,PR,12
2021,1.0,4,RJ,20
2021,1.0,4,RN,2
2021,1.0,4,RO,1
2021,1.0,4,RS,3
2021,1.0,4,SC,4
2021,1.0,4,SE,2
2021,1.0,4,SP,24
2021,1.0,4,TO,4
2021,2.0,0,AC,8
2021,2.0,0,AL,15
2021,2.0,0,AM,91
2021,2.0,0,AP,8
2021,2.0,0,BA,104
2021,2.0,0,CE,395
2021,2.0,0,DF,10
2021,2.0,0,ES,16
2021,2.0,0,GO,37
2021,2.0,0,MA,57
2021,2.0,0,MG,38
2021,2.0,0,MS,18
2021,2.0,0,MT,41
2021,2.0,0,PA,45
2021,2.0,0,PB,22
2021,2.0,0,PE,58
2021,2.0,0,PI,15
2021,2.0,0,PR,50
2021,2.0,0,RJ,31
2021,2.0,0,RN,10
2021,2.0,0,RO,12
2021,2.0,0,RR,6
2021,2.0,0,RS,46
2021,2.0,0,SC,28
2021,2.0,0,SE,15
2021,2.0,0,SP,62
2021,2.0,0,TO,17
2021,2.0,1,AC,165
2021,2.0,1,AL,324
2021,2.0,1,AM,2151
2021,2.0,1,AP,110
2021,2.0,1,BA,1934
2021,2.0,1,CE,4849
2021,2.0,1,DF,359
2021,2.0,1,ES,638
2021,2.0,1,GO,886
2021,2.0,1,MA,1507
2021,2.0,1,MG,1876
2021,2.0,1,MS,492
2021,2.0,1,MT,821
2021,2.0,1,PA,1028
2021,2.0,1,PB,524
2021,2.0,1,PE,1689
2021,2.0,1,PI,386
2021,2.0,1,PR,1012
2021,2.0,1,RJ,970
2021,2.0,1,RN,401
2021,2.0,1,RO,369
2021,2.0,1,RR,113
2021,2.0,1,RS,1162
2021,2.0,1,SC,644
2021,2.0,1,SE,360
2021,2.0,1,SP,1412
2021,2.0,1,TO,356
2021,2.0,2,AC,3
2021,2.0,2,AL,5
2021,2.0,2,AM,57
