NU_ANO,TP_ESCOLA,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2021,1,0,MA,3847
2021,1,0,MG,7504
2021,1,0,MS,1379
2021,1,0,MT,2195
2021,1,0,PA,7923
2021,1,0,PB,2919
2021,1,0,PE,4768
2021,1,0,PI,2572
2021,1,0,PR,4449
2021,1,0,RJ,6159
2021,1,0,RN,2840
2021,1,0,RO,1238
2021,1,0,RR,277
2021,1,0,RS,6239
2021,1,0,SC,2891
2021,1,0,SE,1706
2021,1,0,SP,12118
2021,1,0,TO,915
2021,1,1,AC,12284
2021,1,1,AL,34839
2021,1,1,AM,40228
2021,1,1,AP,14213
2021,1,1,BA,151069
2021,1,1,CE,95383
2021,1,1,DF,38145
2021,1,1,ES,34150
2021,1,1,GO,63543
2021,1,1,MA,82113
2021,1,1,MG,200256
2021,1,1,MS,22105
2021,1,1,MT,31384
2021,1,1,PA,120077
2021,1,1,PB,62966
2021,1,1,PE,113751
2021,1,1,PI,51208
2021,1,1,PR,72791
2021,1,1,RJ,138118
2021,1,1,RN,50655
2021,1,1,RO,16889
2021,1,1,RR,4777
2021,1,1,RS,85622
2021,1,1,SC,39374
2021,1,1,SE,34169
2021,1,1,SP,281886
2021,1,1,TO,17433
2021,1,2,AC,1700
2021,1,2,AL,4323
2021,1,2,AM,3834
2021,1,2,AP,1254
2021,1,2,BA,14797
2021,1,2,CE,8164
2021,1,2,DF,4425
2021,1,2,ES,4360
2021,1,2,GO,5607
2021,1,2,MA,6206
2021,1,2,MG,18359
2021,1,2,MS,2796
2021,1,2,MT,3552
2021,1,2,PA,12511
2021,1,2,PB,7510
2021,1,2,PE,11029
2021,1,2,PI,4375
2021,1,2,PR,6642
2021,1,2,RJ,15178
2021,1,2,RN,6106
2021,1,2,RO,2926
2021,1,2,RR,445
2021,1,2,RS,6653
2021,1,2,SC,2770
2021,1,2,SE,2708
2021,1,2,SP,23069
2021,1,2,TO,1576
2021,1,3,AC,429
2021,1,3,AL,992
2021,1,3,AM,890
2021,1,3,AP,266
2021,1,3,BA,3296
2021,1,3,CE,1796
2021,1,3,DF,1167
2021,1,3,ES,1031
2021,1,3,GO,1595
2021,1,3,MA,1434
2021,1,3,MG,4995
2021,1,3,MS,758
2021,1,3,MT,969
2021,1,3,PA,2344
2021,1,3,PB,1726
2021,1,3,PE,2603
2021,1,3,PI,960
2021,1,3,PR,1810
2021,1,3,RJ,4030
2021,1,3,RN,1275
2021,1,3,RO,717
2021,1,3,RR,122
2021,1,3,RS,2201
2021,1,3,SC,832
2021,1,3,SE,800
2021,1,3,SP,7140
2021,1,3,TO,399
2021,1,4,AC,22
2021,1,4,AL,84
2021,1,4,AM,86
2021,1,4,AP,24
2021,1,4,BA,265
2021,1,4,CE,151
2021,1,4,DF,74
2021,1,4,ES,66
2021,1,4,GO,106
2021,1,4,MA,101
2021,1,4,MG,371
2021,1,4,MS,43
2021,1,4,MT,77
2021,1,4,PA,203
2021,1,4,PB,104
2021,1,4,PE,200
2021,1,4,PI,77
2021,1,4,PR,118
2021,1,4,RJ,402
2021,1,4,RN,85
2021,1,4,RO,40
2021,1,4,RR,2
2021,1,4,RS,185
2021,1,4,SC,33
2021,1,4,SE,44
2021,1,4,SP,461
2021,1,4,TO,26
2021,2,0,AC,253
2021,2,0,AL,373
2021,2,0,AM,1740
2021,2,0,AP,186
2021,2,0,BA,3285
2021,2,0,CE,6120
2021,2,0,DF,452
2021,2,0,ES,606
2021,2,0,GO,3121
2021,2,0,MA,1622
2021,2,0,MG,1828
2021,2,0,MS,493
2021,2,0,MT,664
2021,2,0,PA,1492
2021,2,0,PB,950
2021,2,0,PE,2441
2021,2,0,PI,846
2021,2,0,PR,1612
2021,2,0,RJ,1128
2021,2,0,RN,575
2021,2,0,RO,445
2021,2,0,RR,60
2021,2,0,RS,1350
2021,2,0,SC,991
2021,2,0,SE,479
2021,2,0,SP,3192
2021,2,0,TO,477
2021,2,1,AC,4336
2021,2,1,AL,10718
2021,2,1,AM,38001
2021,2,1,AP,4132
2021,2,1,BA,72084
2021,2,1,CE,95044
2021,2,1,DF,15182
2021,2,1,ES,19183
2021,2,1,GO,51853
2021,2,1,MA,29120
2021,2,1,MG,77529
2021,2,1,MS,12771
2021,2,1,MT,14687
2021,2,1,PA,34696
2021,2,1,PB,20427
2021,2,1,PE,49269
2021,2,1,PI,16143
2021,2,1,PR,45443
2021,2,1,RJ,49027
2021,2,1,RN,15308
2021,2,1,RO,9573
2021,2,1,RR,2179
2021,2,1,RS,40043
2021,2,1,SC,27620
2021,2,1,SE,10644
2021,2,1,SP,128089
2021,2,1,TO,9117
2021,2,2,AC,79
2021,2,2,AL,200
2021,2,2,AM,680
2021,2,2,AP,31
2021,2,2,BA,1060
2021,2,2,CE,1448
2021,2,2,DF,164
2021,2,2,ES,261
2021,2,2,GO,1564
2021,2,2,MA,229
2021,2,2,MG,958
2021,2,2,MS,198
2021,2,2,MT,212
2021,2,2,PA,502
2021,2,2,PB,514
2021,2,2,PE,583
2021,2,2,PI,257
2021,2,2,PR,576
2021,2,2,RJ,694
2021,2,2,RN,243
2021,2,2,RO,357
2021,2,2,RR,11
2021,2,2,RS,360
2021,2,2,SC,238
2021,2,2,SE,140
2021,2,2,SP,1141
2021,2,2,TO,130
2021,2,3,AC,40
2021,2,3,AL,77
2021,2,3,AM,317
2021,2,3,AP,28
2021,2,3,BA,533
2021,2,3,CE,391
2021,2,3,DF,143
2021,2,3,ES,142
2021,2,3,GO,490
2021,2,3,MA,206
2021,2,3,MG,613
2021,2,3,MS,78
2021,2,3,MT,122
2021,2,3,PA,205
2021,2,3,PB,144
2021,2,3,PE,290
2021,2,3,PI,105
2021,2,3,PR,327
2021,2,3,RJ,422
2021,2,3,RN,75
2021,2,3,RO,104
2021,2,3,RR,18
2021,2,3,RS,273
2021,2,3,SC,203
2021,2,3,SE,71
2021,2,3,SP,893
2021,2,3,TO,83
2021,2,4,AC,2
2021,2,4,AL,4
2021,2,4,AM,30
2021,2,4,BA,22
2021,2,4,CE,54
2021,2,4,DF,8
2021,2,4,ES,7
2021,2,4,GO,43
2021,2,4,MA,13
2021,2,4,MG,37
2021,2,4,MS,5
2021,2,4,MT,9
2021,2,4,PA,12
2021,2,4,PB,16
2021,2,4,PE,18
2021,2,4,PI,6
2021,2,4,PR,14
2021,2,4,RJ,28
2021,2,4,RN,4
2021,2,4,RO,4
2021,2,4,RS,6
2021,2,4,SC,5
2021,2,4,SE,3
2021,2,4,SP,33
2021,2,4,TO,6
2021,3,0,AC,20
2021,3,0,AL,133
2021,3,0,AM,45
2021,3,0,AP,24
2021,3,0,BA,484
2021,3,0,CE,279
2021,3,0,DF,182
2021,3,0,ES,88
2021,3,0,GO,183
2021,3,0,MA,127
2021,3,0,MG,423
2021,3,0,MS,67
2021,3,0,MT,101
2021,3,0,PA,249
2021,3,0,PB,172
2021,3,0,PE,299
2021,3,0,PI,121
2021,3,0,PR,333
2021,3,0,RJ,613
2021,3,0,RN,107
2021,3,0,RO,26
2021,3,0,RR,4
2021,3,0,RS,261
2021,3,0,SC,228
2021,3,0,SE,113
2021,3,0,SP,1496
2021,3,0,TO,24
2021,3,1,AC,266
2021,3,1,AL,3297
2021,3,1,AM,1434
2021,3,1,AP,482
2021,3,1,BA,11459
2021,3,1,CE,7238
2021,3,1,DF,5399
2021,3,1,ES,2676
2021,3,1,GO,5892
2021,3,1,MA,2852
2021,3,1,MG,14813
2021,3,1,MS,1777
2021,3,1,MT,2090
