NU_ANO,Q006,SG_UF_PROVA,QTD
2021,K,CE,1148
2021,K,DF,1553
2021,K,ES,877
2021,K,GO,1698
2021,K,MA,769
2021,K,MG,5030
2021,K,MS,705
2021,K,MT,914
2021,K,PA,1224
2021,K,PB,751
2021,K,PE,1511
2021,K,PI,543
2021,K,PR,3080
2021,K,RJ,4138
2021,K,RN,805
2021,K,RO,328
2021,K,RR,133
2021,K,RS,2678
2021,K,SC,1966
2021,K,SE,471
2021,K,SP,10816
2021,K,TO,389
2021,L,AC,179
2021,L,AL,452
2021,L,AM,477
2021,L,AP,217
2021,L,BA,1752
2021,L,CE,1054
2021,L,DF,1483
2021,L,ES,751
2021,L,GO,1451
2021,L,MA,694
2021,L,MG,4544
2021,L,MS,528
2021,L,MT,834
2021,L,PA,1061
2021,L,PB,716
2021,L,PE,1322
2021,L,PI,462
2021,L,PR,2595
2021,L,RJ,3695
2021,L,RN,675
2021,L,RO,280
2021,L,RR,131
2021,L,RS,2350
2021,L,SC,1616
2021,L,SE,406
2021,L,SP,9364
2021,L,TO,299
2021,M,AC,244
2021,M,AL,604
2021,M,AM,619
2021,M,AP,257
2021,M,BA,2431
2021,M,CE,1550
2021,M,DF,2285
2021,M,ES,1090
2021,M,GO,2106
2021,M,MA,971
2021,M,MG,6310
2021,M,MS,861
2021,M,MT,1261
2021,M,PA,1408
2021,M,PB,1029
2021,M,PE,1827
2021,M,PI,616
2021,M,PR,3741
2021,M,RJ,5564
2021,M,RN,1068
2021,M,RO,393
2021,M,RR,163
2021,M,RS,3278
2021,M,SC,2403
2021,M,SE,631
2021,M,SP,14197
2021,M,TO,456
2021,N,AC,152
2021,N,AL,354
2021,N,AM,423
2021,N,AP,151
2021,N,BA,1569
2021,N,CE,1096
2021,N,DF,1708
2021,N,ES,728
2021,N,GO,1171
2021,N,MA,547
2021,N,MG,3900
2021,N,MS,513
2021,N,MT,728
2021,N,PA,855
2021,N,PB,627
