NU_ANO,TP_ESTADO_CIVIL,TP_COR_RACA,SG_UF_PROVA,QTD
2019,1,5,RR,468
2019,1,5,RS,321
2019,1,5,SC,287
2019,1,5,SE,456
2019,1,5,SP,2818
2019,1,5,TO,260
2019,2,0,AC,88
2019,2,0,AL,222
2019,2,0,AM,174
2019,2,0,AP,40
2019,2,0,BA,591
2019,2,0,CE,373
2019,2,0,DF,227
2019,2,0,ES,142
2019,2,0,GO,301
2019,2,0,MA,199
2019,2,0,MG,802
2019,2,0,MS,105
2019,2,0,MT,137
2019,2,0,PA,316
2019,2,0,PB,291
2019,2,0,PE,489
2019,2,0,PI,159
2019,2,0,PR,232
2019,2,0,RJ,546
2019,2,0,RN,233
2019,2,0,RO,147
2019,2,0,RR,20
2019,2,0,RS,258
2019,2,0,SC,124
2019,2,0,SE,90
2019,2,0,SP,656
2019,2,0,TO,49
2019,2,1,AC,681
2019,2,1,AL,1934
2019,2,1,AM,1379
2019,2,1,AP,482
2019,2,1,BA,3805
2019,2,1,CE,3609
2019,2,1,DF,2375
2019,2,1,ES,2783
2019,2,1,GO,3543
2019,2,1,MA,2867
2019,2,1,MG,12604
2019,2,1,MS,2636
2019,2,1,MT,2073
2019,2,1,PA,3089
2019,2,1,PB,4038
2019,2,1,PE,5703
2019,2,1,PI,1511
2019,2,1,PR,8855
2019,2,1,RJ,8814
2019,2,1,RN,4162
2019,2,1,RO,1801
2019,2,1,RR,155
2019,2,1,RS,10130
2019,2,1,SC,3500
2019,2,1,SE,731
2019,2,1,SP,23215
2019,2,1,TO,600
2019,2,2,AC,480
2019,2,2,AL,1038
2019,2,2,AM,606
2019,2,2,AP,368
2019,2,2,BA,9566
2019,2,2,CE,1518
2019,2,2,DF,1251
2019,2,2,ES,1759
2019,2,2,GO,1704
2019,2,2,MA,2463
2019,2,2,MG,6993
2019,2,2,MS,696
2019,2,2,MT,1152
2019,2,2,PA,2877
2019,2,2,PB,1476
2019,2,2,PE,2725
2019,2,2,PI,1535
2019,2,2,PR,1036
2019,2,2,RJ,5803
2019,2,2,RN,1139
2019,2,2,RO,916
2019,2,2,RR,96
2019,2,2,RS,1253
2019,2,2,SC,439
2019,2,2,SE,992
2019,2,2,SP,6200
2019,2,2,TO,569
2019,2,3,AC,3565
2019,2,3,AL,6024
2019,2,3,AM,7772
2019,2,3,AP,2242
2019,2,3,BA,17558
2019,2,3,CE,11770
2019,2,3,DF,4587
2019,2,3,ES,5659
2019,2,3,GO,7083
2019,2,3,MA,9970
2019,2,3,MG,19840
2019,2,3,MS,3556
2019,2,3,MT,4442
2019,2,3,PA,17259
2019,2,3,PB,8665
2019,2,3,PE,12089
2019,2,3,PI,6008
2019,2,3,PR,4566
2019,2,3,RJ,11882
2019,2,3,RN,5906
2019,2,3,RO,5347
2019,2,3,RR,668
2019,2,3,RS,2036
2019,2,3,SC,1500
2019,2,3,SE,3559
2019,2,3,SP,18307
2019,2,3,TO,2140
2019,2,4,AC,140
2019,2,4,AL,338
2019,2,4,AM,161
2019,2,4,AP,40
2019,2,4,BA,669
2019,2,4,CE,371
2019,2,4,DF,242
2019,2,4,ES,219
2019,2,4,GO,576
2019,2,4,MA,359
2019,2,4,MG,1008
2019,2,4,MS,157
2019,2,4,MT,208
2019,2,4,PA,418
2019,2,4,PB,476
2019,2,4,PE,583
2019,2,4,PI,245
2019,2,4,PR,283
2019,2,4,RJ,484
2019,2,4,RN,237
2019,2,4,RO,243
2019,2,4,RR,12
2019,2,4,RS,77
2019,2,4,SC,84
2019,2,4,SE,157
2019,2,4,SP,788
2019,2,4,TO,135
2019,2,5,AC,26
2019,2,5,AL,62
2019,2,5,AM,180
2019,2,5,AP,13
2019,2,5,BA,204
2019,2,5,CE,102
2019,2,5,DF,43
2019,2,5,ES,56
2019,2,5,GO,45
2019,2,5,MA,42
2019,2,5,MG,168
2019,2,5,MS,191
2019,2,5,MT,57
2019,2,5,PA,103
2019,2,5,PB,150
2019,2,5,PE,356
2019,2,5,PI,34
2019,2,5,PR,32
2019,2,5,RJ,107
2019,2,5,RN,44
2019,2,5,RO,62
2019,2,5,RR,38
2019,2,5,RS,23
2019,2,5,SC,21
