NU_ANO,Q024,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2020,A,0,CE,9813
2020,A,0,DF,1884
2020,A,0,ES,1764
2020,A,0,GO,5008
2020,A,0,MA,7131
2020,A,0,MG,8176
2020,A,0,MS,2691
2020,A,0,MT,3115
2020,A,0,PA,13578
2020,A,0,PB,3679
2020,A,0,PE,6861
2020,A,0,PI,4134
2020,A,0,PR,4969
2020,A,0,RJ,5460
2020,A,0,RN,3173
2020,A,0,RO,2307
2020,A,0,RR,522
2020,A,0,RS,5985
2020,A,0,SC,2818
2020,A,0,SE,2721
2020,A,0,SP,13682
2020,A,0,TO,1976
2020,A,1,AC,22118
2020,A,1,AL,52343
2020,A,1,AM,92548
2020,A,1,AP,27880
2020,A,1,BA,225329
2020,A,1,CE,190258
2020,A,1,DF,33876
2020,A,1,ES,34728
2020,A,1,GO,86941
2020,A,1,MA,150019
2020,A,1,MG,181885
2020,A,1,MS,31676
2020,A,1,MT,38638
2020,A,1,PA,198436
2020,A,1,PB,78245
2020,A,1,PE,158360
2020,A,1,PI,75264
2020,A,1,PR,64809
2020,A,1,RJ,125391
2020,A,1,RN,57240
2020,A,1,RO,28830
2020,A,1,RR,8111
2020,A,1,RS,74117
2020,A,1,SC,30689
2020,A,1,SE,47587
2020,A,1,SP,248396
2020,A,1,TO,30576
2020,A,2,AC,3274
2020,A,2,AL,6761
2020,A,2,AM,7835
2020,A,2,AP,2121
2020,A,2,BA,20965
2020,A,2,CE,12312
2020,A,2,DF,4032
2020,A,2,ES,4803
2020,A,2,GO,9226
2020,A,2,MA,11423
2020,A,2,MG,19582
2020,A,2,MS,4979
2020,A,2,MT,4804
2020,A,2,PA,20121
2020,A,2,PB,8817
2020,A,2,PE,14410
2020,A,2,PI,6841
2020,A,2,PR,7592
2020,A,2,RJ,15736
2020,A,2,RN,6488
2020,A,2,RO,5518
2020,A,2,RR,738
2020,A,2,RS,6931
2020,A,2,SC,3124
2020,A,2,SE,3585
2020,A,2,SP,27656
2020,A,2,TO,2783
2020,A,3,AC,806
2020,A,3,AL,1643
2020,A,3,AM,1981
2020,A,3,AP,518
