SG_UF_PROVA,NO_MUNICIPIO_PROVA,PRESENCA,NU_ANO
BA,Sobradinho,0.7422402159244265,2019
BA,São Felipe,0.7896440129449838,2019
BA,São Francisco do Conde,0.6746302616609784,2019
BA,São Félix,0.6738461538461539,2019
BA,São Gabriel,0.7352941176470589,2019
BA,São Gonçalo dos Campos,0.7817083692838654,2019
BA,São Sebastião do Passé,0.7204522096608428,2019
BA,Teixeira de Freitas,0.6829587606371372,2019
BA,Tucano,0.7527386541471048,2019
BA,Uauá,0.7746741154562383,2019
BA,Ubaitaba,0.7542087542087542,2019
BA,Ubaíra,0.7540650406504065,2019
BA,Uibaí,0.7676767676767676,2019
BA,Umburanas,0.634703196347032,2019
BA,Una,0.7607655502392344,2019
BA,Urandi,0.7493540051679587,2019
BA,Valente,0.7525022747952684,2019
BA,Valença,0.7006302521008403,2019
BA,Vera Cruz,0.7346153846153847,2019
BA,Vitória da Conquista,0.7439161859293151,2019
BA,Xique-Xique,0.7418273260687342,2019
CE,Acarape,0.7651715039577837,2019
CE,Acaraú,0.76,2019
CE,Acopiara,0.782345013477089,2019
CE,Alto Santo,0.7560975609756098,2019
CE,Amontada,0.8049167327517843,2019
CE,Aquiraz,0.711918760021379,2019
CE,Aracati,0.7605737403457153,2019
CE,Aracoiaba,0.8040278853601859,2019
CE,Araripe,0.7652474108170311,2019
CE,Aratuba,0.7288428324697754,2019
CE,Assaré,0.7719594594594594,2019
CE,Aurora,0.8132118451025057,2019
CE,Banabuiú,0.7040169133192389,2019
CE,Barbalha,0.7562679819153308,2019
CE,Barreira,0.6925287356321839,2019
CE,Barro,0.7954239569313594,2019
CE,Barroquinha,0.775,2019
CE,Baturité,0.7128184059161874,2019
CE,Beberibe,0.8072122052704577,2019
CE,Bela Cruz,0.8254649499284692,2019
CE,Boa Viagem,0.7833910034602076,2019
CE,Brejo Santo,0.7425583266291231,2019
CE,Camocim,0.7370176274416389,2019
CE,Campos Sales,0.8275290215588723,2019
CE,Canindé,0.7906746031746031,2019
CE,Caridade,0.8085714285714286,2019
CE,Caririaçu,0.7409381663113006,2019
CE,Cariré,0.7871485943775101,2019
CE,Cascavel,0.7922374429223744,2019
CE,Caucaia,0.6925805498078629,2019
CE,Cedro,0.830316742081448,2019
CE,Chaval,0.7987804878048781,2019
CE,Coreaú,0.7683673469387755,2019
CE,Crateús,0.7695377452610576,2019
CE,Crato,0.7302297214881074,2019
CE,Cruz,0.7925696594427245,2019
CE,Eusébio,0.6564516129032258,2019
CE,Farias Brito,0.7133757961783439,2019
CE,Forquilha,0.6902834008097166,2019
CE,Fortaleza,0.7484882583684759,2019
CE,Granja,0.8548895899053628,2019
CE,Guaraciaba do Norte,0.8023399014778325,2019
CE,Hidrolândia,0.8410041841004184,2019
CE,Horizonte,0.661353032659409,2019
CE,Ibiapina,0.780891719745223,2019
CE,Icapuí,0.7243401759530792,2019
CE,Icó,0.7853053435114504,2019
CE,Iguatu,0.7492572786690433,2019
CE,Independência,0.8249194414607949,2019
CE,Ipu,0.788510101010101,2019
CE,Ipueiras,0.8336575875486382,2019
CE,Iracema,0.7155297532656023,2019
CE,Irauçuba,0.6339181286549708,2019
CE,Itaitinga,0.7138157894736842,2019
CE,Itapajé,0.8179749715585893,2019
CE,Itapipoca,0.8026578073089701,2019
CE,Itarema,0.7694394213381555,2019
CE,Itatira,0.8798151001540832,2019
CE,Jaguaretama,0.7786259541984732,2019
CE,Jaguaribe,0.7896825396825397,2019
CE,Jaguaruana,0.7817730936143832,2019
CE,Jardim,0.8011243851018974,2019
CE,Jijoca de Jericoacoara,0.8078817733990148,2019
CE,Juazeiro do Norte,0.7093566240055345,2019
CE,Jucás,0.7493649449618967,2019
CE,Lavras da Mangabeira,0.7654320987654321,2019
CE,Limoeiro do Norte,0.7350284376045501,2019
CE,Madalena,0.680089485458613,2019
CE,Maracanaú,0.6756580661975502,2019
CE,Maranguape,0.6952141057934509,2019
CE,Marco,0.828526890101325,2019
CE,Massapê,0.7272089761570828,2019
CE,Mauriti,0.8557749850388988,2019
CE,Milagres,0.8167821401077752,2019
CE,Missão Velha,0.8172757475083057,2019
CE,Mombaça,0.7525862068965518,2019
CE,Monsenhor Tabosa,0.777262180974478,2019
CE,Morada Nova,0.768370607028754,2019
CE,Mulungu,0.8404761904761905,2019
CE,Nova Olinda,0.7580853816300129,2019
CE,Nova Russas,0.7689393939393939,2019
CE,Novo Oriente,0.8339882121807466,2019
CE,Ocara,0.6677018633540373,2019
CE,Orós,0.8100436681222707,2019
CE,Pacajus,0.7276870489935435,2019
CE,Pacatuba,0.6386818360141232,2019
CE,Pacoti,0.7756463719766472,2019
CE,Paracuru,0.8069620253164557,2019
CE,Paraipaba,0.8280254777070064,2019
CE,Parambu,0.841692789968652,2019
CE,Pedra Branca,0.7409326424870466,2019
CE,Pentecoste,0.7762669962917181,2019
CE,Pindoretama,0.7231788079470198,2019
CE,Porteiras,0.8236434108527132,2019
CE,Quiterianópolis,0.8473282442748091,2019
CE,Quixadá,0.6971350613915416,2019
CE,Quixeramobim,0.6951827242524917,2019
CE,Redenção,0.7728706624605678,2019
CE,Russas,0.7088716623600344,2019
CE,Santa Quitéria,0.8517110266159695,2019
CE,Santana do Acaraú,0.8194044188280499,2019
CE,Santana do Cariri,0.7182448036951501,2019
CE,Senador Pompeu,0.7973300970873787,2019
CE,Sobral,0.7110881542699724,2019
CE,Solonópole,0.8143459915611815,2019
CE,São Benedito,0.8384146341463414,2019
CE,São Gonçalo do Amarante,0.7262931034482759,2019
CE,Tabuleiro do Norte,0.7324364723467862,2019
CE,Tamboril,0.7420998980632009,2019
CE,Tauá,0.7193798449612403,2019
CE,Tejuçuoca,0.8141025641025641,2019
CE,Tianguá,0.7838205302515295,2019
CE,Trairi,0.8035832780358327,2019
CE,Ubajara,0.7471087124132614,2019
CE,Uruburetama,0.8112113402061856,2019
CE,Uruoca,0.8136645962732919,2019
CE,Varjota,0.8083889418493804,2019
CE,Viçosa do Ceará,0.7704918032786885,2019
CE,Várzea Alegre,0.7813299232736572,2019
DF,Brasília,0.704660455508143,2019
ES,Afonso Cláudio,0.8108504398826979,2019
ES,Alegre,0.7355117139334155,2019
ES,Anchieta,0.7226775956284153,2019
ES,Aracruz,0.69,2019
ES,Baixo Guandu,0.7074569789674953,2019
ES,Barra de São Francisco,0.7454228421970357,2019
ES,Brejetuba,0.7529880478087649,2019
ES,Cachoeiro de Itapemirim,0.7144893958296203,2019
ES,Cariacica,0.6785336995563068,2019
ES,Castelo,0.7982832618025751,2019
ES,Colatina,0.7432497589199615,2019
ES,Conceição da Barra,0.6209677419354839,2019
ES,Domingos Martins,0.7431693989071039,2019
ES,Ecoporanga,0.7521008403361344,2019
ES,Guarapari,0.711424819435325,2019
ES,Guaçuí,0.7756563245823389,2019
ES,Itapemirim,0.7042062415196744,2019
ES,Iúna,0.7296604740550929,2019
ES,Jaguaré,0.6811594202898551,2019
ES,João Neiva,0.7229965156794426,2019
ES,Linhares,0.6863524512587545,2019
ES,Marataízes,0.7214799588900308,2019
ES,Mimoso do Sul,0.7594086021505376,2019
ES,Montanha,0.7001270648030495,2019
ES,Nova Venécia,0.7178019461934745,2019
ES,Pedro Canário,0.7134502923976608,2019
ES,Pinheiros,0.6762075134168157,2019
ES,Santa Maria de Jetibá,0.7388211382113821,2019
ES,Santa Teresa,0.8010869565217391,2019
ES,Serra,0.6798642533936652,2019
ES,Sooretama,0.6116838487972509,2019
ES,São Gabriel da Palha,0.7358139534883721,2019
ES,São Mateus,0.6900598251265532,2019
ES,Venda Nova do Imigrante,0.796415770609319,2019
ES,Viana,0.658311345646438,2019
ES,Vila Velha,0.7090246261438881,2019
ES,Vitória,0.7087577767142955,2019
ES,Água Doce do Norte,0.7870036101083032,2019
GO,Acreúna,0.7463175122749591,2019
GO,Alexânia,0.6993865030674846,2019
GO,Anápolis,0.7155364960243009,2019
GO,Aparecida de Goiânia,0.7058720112517581,2019
GO,Aragarças,0.664983164983165,2019
GO,Bom Jesus de Goiás,0.710997442455243,2019
GO,Caldas Novas,0.7453842851009017,2019
GO,Campos Belos,0.6980474198047419,2019
GO,Catalão,0.7484425349087003,2019
GO,Ceres,0.7725284339457568,2019
GO,Cidade Ocidental,0.7028852056476366,2019
GO,Cristalina,0.7482014388489209,2019
GO,Formosa,0.7067750677506776,2019
GO,Goianira,0.696271186440678,2019
GO,Goianésia,0.752410166520596,2019
GO,Goiatuba,0.7493074792243767,2019
GO,Goiás,0.5928608380755302,2019
GO,Goiânia,0.7387373611880961,2019
GO,Inhumas,0.7549668874172185,2019
GO,Ipameri,0.7553366174055829,2019
GO,Iporá,0.7904022582921666,2019
GO,Itaberaí,0.7621107266435986,2019
GO,Itapaci,0.7931303669008587,2019
GO,Itapuranga,0.8139255702280912,2019
GO,Itumbiara,0.7135448444173277,2019
GO,Jaraguá,0.8138736263736264,2019
GO,Jataí,0.7403749244104011,2019
GO,Jussara,0.8267875125881168,2019
GO,Luziânia,0.6540724682564262,2019
GO,Minaçu,0.8,2019
GO,Mineiros,0.6978211009174312,2019
GO,Morrinhos,0.7845142439737034,2019
GO,Nerópolis,0.7348703170028819,2019
GO,Niquelândia,0.7604166666666666,2019
GO,Novo Gama,0.6940463065049615,2019
GO,Padre Bernardo,0.7614678899082569,2019
GO,Piracanjuba,0.7889207258834766,2019
GO,Pirenópolis,0.7690387016229713,2019
