ANO,TP_COR_RACA,UF,INSCRICOES,PARTICIPANTES
2022,2,RJ,43496,26654
2022,2,RN,8172,5436
2022,2,RO,3062,1752
2022,2,RR,638,349
2022,2,RS,10314,5899
2022,2,SC,3677,1999
2022,2,SE,8562,5871
2022,2,SP,51582,31110
2022,2,TO,4119,2493
2022,3,AC,14010,8725
2022,3,AL,35327,23478
2022,3,AM,56217,27835
2022,3,AP,14146,8735
2022,3,BA,128258,88127
2022,3,CE,139630,93528
2022,3,DF,27766,18185
2022,3,ES,26612,16982
2022,3,GO,64953,39464
2022,3,MA,82026,55367
2022,3,MG,118582,78906
2022,3,MS,17655,10499
2022,3,MT,28575,17246
2022,3,PA,128034,83522
2022,3,PB,53736,37056
2022,3,PE,93674,62694
2022,3,PI,49899,35284
2022,3,PR,35534,21569
2022,3,RJ,81941,52492
2022,3,RN,41419,28597
2022,3,RO,17920,10717
2022,3,RR,5068,2856
2022,3,RS,19415,11856
2022,3,SC,14324,8303
2022,3,SE,32495,23059
2022,3,SP,145086,91061
2022,3,TO,16542,10555
2022,4,AC,796,468
2022,4,AL,1917,1202
2022,4,AM,1390,711
2022,4,AP,298,163
2022,4,BA,5691,3756
2022,4,CE,3495,2361
2022,4,DF,1299,821
2022,4,ES,823,500
2022,4,GO,4404,2573
2022,4,MA,1937,1250
2022,4,MG,4841,3033
2022,4,MS,976,629
2022,4,MT,1278,803
2022,4,PA,3804,2492
2022,4,PB,2469,1649
2022,4,PE,3825,2423
2022,4,PI,2079,1429
2022,4,PR,3227,2337
2022,4,RJ,3010,1791
2022,4,RN,1597,1064
2022,4,RO,824,468
2022,4,RR,99,55
2022,4,RS,560,348
2022,4,SC,700,419
2022,4,SE,1487,1026
2022,4,SP,12263,9425
2022,4,TO,962,586
2022,5,AC,184,99
2022,5,AL,466,292
2022,5,AM,2962,1338
2022,5,AP,169,97
2022,5,BA,1714,1047
2022,5,CE,1108,667
2022,5,DF,218,115
2022,5,ES,283,150
2022,5,GO,610,323
2022,5,MA,498,306
2022,5,MG,807,476
2022,5,MS,1297,591
2022,5,MT,335,162
2022,5,PA,975,596
2022,5,PB,960,626
2022,5,PE,2446,1595
2022,5,PI,367,252
2022,5,PR,282,147
2022,5,RJ,647,388
2022,5,RN,273,166
2022,5,RO,311,157
2022,5,RR,486,235
2022,5,RS,236,120
2022,5,SC,207,108
2022,5,SE,299,185
2022,5,SP,1485,843
2022,5,TO,215,110
2023,0,AC,376,230
