ANO,Q024,UF,INSCRICOES,PARTICIPANTES
2022,D,RJ,12371,9932
2022,D,RN,2329,1930
2022,D,RO,702,554
2022,D,RR,315,228
2022,D,RS,7232,5768
2022,D,SC,4943,3948
2022,D,SE,1210,1022
2022,D,SP,34219,28008
2022,D,TO,754,596
2022,E,AC,124,102
2022,E,AL,537,441
2022,E,AM,661,469
2022,E,AP,183,153
2022,E,BA,2118,1737
2022,E,CE,2035,1653
2022,E,DF,3355,2701
2022,E,ES,1180,951
2022,E,GO,1943,1579
2022,E,MA,632,506
2022,E,MG,6610,5486
2022,E,MS,655,546
2022,E,MT,740,607
2022,E,PA,1020,843
2022,E,PB,1103,953
2022,E,PE,2481,2059
2022,E,PI,603,504
2022,E,PR,4336,3458
2022,E,RJ,6289,5231
2022,E,RN,970,802
2022,E,RO,298,240
2022,E,RR,131,98
2022,E,RS,3336,2755
2022,E,SC,2116,1733
2022,E,SE,513,436
2022,E,SP,19414,15946
2022,E,TO,309,255
2023,A,AC,16274,9474
2023,A,AL,56675,35338
2023,A,AM,63147,29741
2023,A,AP,19372,11492
2023,A,BA,209073,135942
2023,A,CE,169386,118110
2023,A,DF,24557,14797
2023,A,ES,30409,18059
2023,A,GO,72827,42039
2023,A,MA,122449,80648
2023,A,MG,141537,88822
2023,A,MS,23076,13528
2023,A,MT,30043,17527
2023,A,PA,165368,106302
2023,A,PB,78811,52915
2023,A,PE,138831,92275
2023,A,PI,68900,47314
2023,A,PR,59729,35959
2023,A,RJ,120403,69095
2023,A,RN,56332,38885
2023,A,RO,19363,11193
2023,A,RR,4948,2733
2023,A,RS,57275,35070
2023,A,SC,29664,17177
2023,A,SE,43238,30013
2023,A,SP,200964,117639
2023,A,TO,18986,11661
2023,B,AC,6314,4313
2023,B,AL,20411,14828
2023,B,AM,23544,13808
2023,B,AP,7274,4988
2023,B,BA,92785,66087
2023,B,CE,54710,40854
2023,B,DF,28792,19809
2023,B,ES,31425,21732
2023,B,GO,56493,38706
2023,B,MA,35452,25517
2023,B,MG,156278,112117
2023,B,MS,17714,12334
2023,B,MT,25164,17100
2023,B,PA,51410,36905
