NU_ANO,SG_UF_PROVA,QUANTIDADE_PESSOAS,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
2021,PR,96115,504.0415283774645,535.9882859075067,516.7809342974562,549.2982479321646,613.8762940227853
2021,RJ,157663,501.59163151785776,539.0667252303964,520.1459372205273,549.7137857328605,641.0793908526414
2021,RN,56363,490.3544683569008,520.2173464861701,499.81001898408533,529.7856803221972,627.6262796515445
2021,RO,18704,475.6482196321643,501.2704020530368,483.56499679213,506.5152908468777,587.0188195038495
2021,RR,4841,484.35217930179715,510.75457550092955,494.07236108242097,509.83666597810367,585.9822350753976
2021,RS,100882,503.15793600444084,540.046892408953,520.1514274102417,550.5618346186634,628.9621538034536
2021,SC,54294,508.93677570265595,541.1515268722143,518.1285372232659,557.4214756695031,630.8288208641839
2021,SE,37363,481.52502475711265,507.11700612905815,488.0200813639162,516.8179482375613,630.1608543211198
2021,SP,350149,512.4529720204827,548.3518704894202,531.0448614732585,568.2300934744923,639.2281000374127
2021,TO,19799,473.2585938683772,497.07509975251276,480.4610636900853,506.94992676397794,599.9343401181878
2022,AC,14280,476.6134803921569,508.05366946778713,499.55971988795517,504.032380952381,595.4663865546219
2022,AL,43425,485.32853655728263,514.4760253310304,503.5772366148532,524.0473321819228,614.8444444444444
2022,AM,41219,473.9301171789709,501.21551711589314,491.6920425046702,496.2177054271089,553.8077100366336
2022,AP,14252,473.8226284030311,507.59991580129105,493.55257507718215,494.45786556272805,582.5820937412293
2022,BA,183110,485.39258860794064,517.7159319534705,506.9691103708153,519.574478728633,617.7888700780951
2022,CE,156387,486.8971014214737,515.492469962337,503.8478121582996,530.6176792188609,605.806620754922
2022,DF,44572,511.4844341739208,547.6175042627658,541.6655927488109,558.837557210805,643.0463070986269
2022,ES,42367,504.9832345929615,541.7249864281163,528.2928246040551,559.7750230131942,649.2973304694692
2022,GO,89852,492.2026343320127,525.5126040600098,514.5631293682945,536.630374393447,631.861282998709
2022,MA,90133,474.99907137230537,499.27291668978063,486.46540445785666,502.65863113399087,595.6366702539581
2022,MG,214443,510.8076971502917,548.5670033528723,535.9152861133261,573.8902850640964,665.8979775511441
2022,MS,28121,493.56936453184454,523.3143309270652,514.6175278261798,535.1125386721667,612.8928558728353
2022,MT,37299,487.8224268747151,518.8083648355183,507.7464141129789,527.0283600096518,603.9046623233867
2022,PA,134445,474.9474298040091,506.29293019450336,490.13603629737065,499.67849827066834,598.5018409014839
2022,PB,72724,488.60424756614043,518.4606168527583,507.29005692756175,526.1318615587702,629.5701556570045
2022,PE,130361,490.75737605572215,519.8670131404331,511.445616403679,536.2945919408412,618.4045841931253
2022,PI,60310,481.316400265296,508.6972989553971,494.86531752611506,519.5514193334438,619.4823412369425
2022,PR,100046,507.4153349459249,542.2026297902964,532.4064760210302,559.3646252723747,624.7342222577614
2022,RJ,168854,504.7155554502707,545.5163727243654,536.3520662821135,556.6204602792945,647.2692385137456
2022,RN,62017,495.599903252334,525.8474369930825,516.142317429092,534.3722156827967,628.5595884999275
2022,RO,19583,480.78073328907726,511.633483123117,500.52721237808305,514.9150130214982,596.1323596997396
2022,RR,4890,492.6540899795501,523.5887730061349,513.1779959100204,523.578609406953,589.6850715746422
2022,RS,101872,502.7663175357311,542.590655921156,536.207032354327,558.6539569263389,639.9575938432542
2022,SC,55896,509.89419636467727,546.3014795334192,537.4025601116359,567.5530520967511,646.4365965364248
2022,SE,42037,486.85401432071745,517.7782001570046,504.64090444132546,520.3131978970906,634.687061398292
2022,SP,373252,510.950330339824,550.3864418676926,544.7707733649116,573.4302272995188,648.8305487981311
